state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name,regd_voters,voting_points
ABIA,01,ABA NORTH,01,EZIAMA,001,RAILWAY QUARTERS - RAILWAY QUARTERS I,972,2
ABIA,01,ABA NORTH,01,EZIAMA,002,RAILWAY QUARTERS - RAILWAY QUARTERS II,1152,2
ABIA,01,ABA NORTH,01,EZIAMA,003,RAILWAY QUARTERS - RAILWAY QUARTERS III,1280,3
ABIA,01,ABA NORTH,01,EZIAMA,004,RAILWAY QUARTERS - RAILWAY QUARTERS IV,735,1
ABIA,01,ABA NORTH,01,EZIAMA,005,ABIA POLY - ABIA POLY I,1890,4
ABIA,01,ABA NORTH,01,EZIAMA,006,ABIA POLY - ABIA POLY II,1727,3
ABIA,01,ABA NORTH,01,EZIAMA,007,ABIA POLY - ABIA POLY III,2059,4
ABIA,01,ABA NORTH,01,EZIAMA,008,ABIA POLY - ABIA POLY IV,2692,5
ABIA,01,ABA NORTH,01,EZIAMA,009,ABIA POLY - ABIA POLY V,2301,5
ABIA,01,ABA NORTH,01,EZIAMA,010,ABIA POLY - ABIA POLY VI,1970,4
ABIA,01,ABA NORTH,01,EZIAMA,011,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL I,1334,3
ABIA,01,ABA NORTH,01,EZIAMA,012,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL II,1280,3
ABIA,01,ABA NORTH,01,EZIAMA,013,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL III,1204,2
ABIA,01,ABA NORTH,01,EZIAMA,014,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL IV,1121,2
ABIA,01,ABA NORTH,01,EZIAMA,015,EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL V,1031,2
ABIA,01,ABA NORTH,01,EZIAMA,016,SCHOOL I,824,2
ABIA,01,ABA NORTH,01,EZIAMA,017,SCHOOL II,664,1
ABIA,01,ABA NORTH,01,EZIAMA,018,SCHOOL III,1080,2
ABIA,01,ABA NORTH,01,EZIAMA,019,SCHOOL IV,370,1
ABIA,01,ABA NORTH,01,EZIAMA,020,SCHOOL V,797,2
ABIA,01,ABA NORTH,01,EZIAMA,021,SCHOOL VI,648,1
ABIA,01,ABA NORTH,01,EZIAMA,022,SCHOOL VII,668,1
ABIA,01,ABA NORTH,01,EZIAMA,023,SCHOOL VIII,634,1
ABIA,01,ABA NORTH,02,AREA,001,NGWA CULTURAL HALL - NGWA CULTURAL HALL I,720,1
ABIA,01,ABA NORTH,02,AREA,002,NGWA CULTURAL HALL - NGWA CULTURAL HALL II,857,2
ABIA,01,ABA NORTH,02,AREA,003,NGWA CULTURAL HALL- NGWA CULTURAL HALL III,918,2
ABIA,01,ABA NORTH,02,AREA,004,NGWA CULTURAL HALL- NGWA CULTURAL HALL IV,437,1
ABIA,01,ABA NORTH,02,AREA,005,BATA PREMISES - BATA PREMISES I,629,1
ABIA,01,ABA NORTH,02,AREA,006,BATA PREMISES - BATA PREMISES II,770,2
ABIA,01,ABA NORTH,02,AREA,007,BATA PREMISES - BATA PREMISES III,1868,4
ABIA,01,ABA NORTH,02,AREA,008,BATA PREMISES - BATA PREMISES IV,1288,3
ABIA,01,ABA NORTH,02,AREA,009,LEVER BROTHERS GATE - LEVER BROTHERS GATE I,673,1
ABIA,01,ABA NORTH,02,AREA,010,LEVER BROTHERS GATE- LEVER BROTHERS GATE II,700,1
ABIA,01,ABA NORTH,02,AREA,011,LEVER BROTHERS GATE- LEVER BROTHERS GATE III,779,2
ABIA,01,ABA NORTH,02,AREA,012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,800,2
