state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
AKWA IBOM,01,ABAK,01,Abak Urban I,001,"VILLAGE SQUARE, IKOT AKWA EBOM"
AKWA IBOM,01,ABAK,01,Abak Urban I,002,"PRY SCH, IKOT OBONG EDIENE"
AKWA IBOM,01,ABAK,01,Abak Urban I,003,"PRY SCH, IKOT OKU UBARA"
AKWA IBOM,01,ABAK,01,Abak Urban I,004,"VILLAGE SQUARE, IKOT INYANG EDIENE"
AKWA IBOM,01,ABAK,01,Abak Urban I,005,"VILLAGE SQUARE, ATAI EDIENE"
AKWA IBOM,01,ABAK,01,Abak Urban I,006,PRY SCH IBANANG EDIENE
AKWA IBOM,01,ABAK,01,Abak Urban I,007,"VILLAGE HALL, IKOT UDOUSUNG"
AKWA IBOM,01,ABAK,01,Abak Urban I,008,"VILLAGE SQUARE, IKOT UDOUSUNG"
AKWA IBOM,01,ABAK,01,Abak Urban I,009,"VILLAGE HALL, NTO UTOM UKPOM"
AKWA IBOM,01,ABAK,01,Abak Urban I,010,"NCSS, IKOT IYIRE"
AKWA IBOM,01,ABAK,01,Abak Urban I,011,"VILLAGE SQUARE, IKOT AKAN ADIA"
AKWA IBOM,01,ABAK,01,Abak Urban I,012,"VILLAGE HALL, IKOT AKPAN ADIA"
AKWA IBOM,01,ABAK,01,Abak Urban I,013,"VILLAGE HALL, IKOT ONUK UKPOM"
AKWA IBOM,01,ABAK,01,Abak Urban I,014,"PRY SCH, MANTA"
AKWA IBOM,01,ABAK,01,Abak Urban I,015,"VILLAGE SQUARE, MANTA EDEM IDEM"
AKWA IBOM,01,ABAK,02,Abak Urban II,001,"PRY SCH, IBAGWA. I"
AKWA IBOM,01,ABAK,02,Abak Urban II,002,"PRY SCH, IBAGWA. II"
AKWA IBOM,01,ABAK,02,Abak Urban II,003,"VILLAGE HALL, OKON ABAK"
AKWA IBOM,01,ABAK,02,Abak Urban II,004,"VILLAGE HALL, IKOT AFAHA"
AKWA IBOM,01,ABAK,02,Abak Urban II,005,"VILLAGE HALL, MBARAKOM"
AKWA IBOM,01,ABAK,02,Abak Urban II,006,"PRY SCH, ITUNG"
AKWA IBOM,01,ABAK,02,Abak Urban II,007,"PRY SCH, ABAK USUNG ATAI"
AKWA IBOM,01,ABAK,03,Abak Urban III,001,"VILLAGE SQUARE, IKOT ETUK UDO"
AKWA IBOM,01,ABAK,03,Abak Urban III,002,"VILLAGE SQUARE, PARK LANE"
AKWA IBOM,01,ABAK,03,Abak Urban III,003,BISHOP CLARKS PRY SCH
AKWA IBOM,01,ABAK,03,Abak Urban III,004,"PRY SCH, MIDIM WATERSIDE"
AKWA IBOM,01,ABAK,03,Abak Urban III,005,GOVT TECHNICAL COLLEGE
AKWA IBOM,01,ABAK,03,Abak Urban III,006,"PRY SCH, OKU ABAK"
AKWA IBOM,01,ABAK,03,Abak Urban III,007,"V/H, ABAK USUNG IDIM"
AKWA IBOM,01,ABAK,03,Abak Urban III,008,"PRY SCH, NO 1 ABAK"
AKWA IBOM,01,ABAK,03,Abak Urban III,009,CONVENT PRY SCH
AKWA IBOM,01,ABAK,04,Abak Urban IV,001,"PRY SCH, ABAK ITENGE"
AKWA IBOM,01,ABAK,04,Abak Urban IV,002,"VILLAGE SQUARE, OBIOBOM"
AKWA IBOM,01,ABAK,04,Abak Urban IV,003,"PRY SCH, IKOT EKANG"
AKWA IBOM,01,ABAK,04,Abak Urban IV,004,"VILLAGE SQUARE, IKOT OBONG UTU"
AKWA IBOM,01,ABAK,04,Abak Urban IV,005,"MCSS, IKOT EBAK. I"
AKWA IBOM,01,ABAK,04,Abak Urban IV,006,"MCSS, IKOT EBAK. II"
AKWA IBOM,01,ABAK,04,Abak Urban IV,007,"VILLAGE SQUARE, UTU EDEM URUA."
AKWA IBOM,01,ABAK,04,Abak Urban IV,008,"VILLAGE SQUARE, UTU EDEM AKAI"
AKWA IBOM,01,ABAK,04,Abak Urban IV,009,"VILLAGE SQUARE, ABAK IKOT"
AKWA IBOM,01,ABAK,05,Afaha Obong I,001,"PRY SCH, AFAHA ESSANG"
AKWA IBOM,01,ABAK,05,Afaha Obong I,002,"VILLAGE HALL, URUK OBONG"
AKWA IBOM,01,ABAK,05,Afaha Obong I,003,"VILLAGE SQUARE, IKOT UDO UDOM"
AKWA IBOM,01,ABAK,05,Afaha Obong I,004,"VILLAGE SQUARE, NNA ENIN"
AKWA IBOM,01,ABAK,05,Afaha Obong I,005,"VILLAGE SQUARE, IKOT AKPAKPAN"
AKWA IBOM,01,ABAK,05,Afaha Obong I,006,"VILLAGE SQUARE, IKOT AKPAN IKPONG"
AKWA IBOM,01,ABAK,05,Afaha Obong I,007,"VILLAGE SQUARE, EBEBIT"
AKWA IBOM,01,ABAK,05,Afaha Obong I,008,"PRY SCH, EBEBIT"
AKWA IBOM,01,ABAK,05,Afaha Obong I,009,"PRIMARY SCHOOL, IKOT ODIONG"
AKWA IBOM,01,ABAK,05,Afaha Obong I,010,"PRY SCH, ERIAM"
AKWA IBOM,01,ABAK,05,Afaha Obong I,011,"VILLAGE SQUARE, ERIAM"
AKWA IBOM,01,ABAK,05,Afaha Obong I,012,"VILLAGE SQUARE, EDEM ANWA"
AKWA IBOM,01,ABAK,05,Afaha Obong I,013,"PRY SCH, EDEM ANWA"
AKWA IBOM,01,ABAK,05,Afaha Obong I,014,"VILLAGE SQUARE, IKOT UDO OBIO IWOK"
