state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
ANAMBRA,01,AGUATA,01,Achina I,001,ST CHARLE'S SCHOOL I (ST. CHARLE'S SCHOOL)
ANAMBRA,01,AGUATA,01,Achina I,002,ST. CHARLES SCHOOL II (EZIAMA SQUARE)
ANAMBRA,01,AGUATA,01,Achina I,003,UGWUACHI SQUARE
ANAMBRA,01,AGUATA,01,Achina I,004,ST. PETER'S COLLEGE
ANAMBRA,01,AGUATA,01,Achina I,005,AMANKWU SQUARE
ANAMBRA,01,AGUATA,01,Achina I,006,COOPERATIVE HALL
ANAMBRA,01,AGUATA,01,Achina I,007,UMUEZEIYI HALL (GBIRIGBO HALL)
ANAMBRA,01,AGUATA,01,Achina I,008,OCHIEOBU SQUARE
ANAMBRA,01,AGUATA,01,Achina I,009,OYE MOTOR PARK I
ANAMBRA,01,AGUATA,01,Achina I,010,OYE MOTOR PARK II
ANAMBRA,01,AGUATA,01,Achina I,011,OYE MOTOR PARK III
ANAMBRA,01,AGUATA,01,Achina I,012,COUNCIL HALL
ANAMBRA,01,AGUATA,01,Achina I,013,"OBINIKPA PRY. SCHOOL, UMEUZEIYI I"
ANAMBRA,01,AGUATA,01,Achina I,014,"OBINIKPA PRY. SCHOOL, UMEUZEIYI II"
ANAMBRA,01,AGUATA,02,Achina II,001,PROGRESSIVE SCHOOL I
ANAMBRA,01,AGUATA,02,Achina II,002,UMUELEKE HALL I
ANAMBRA,01,AGUATA,02,Achina II,003,GIRLS SECONDARY SCHOOL I
ANAMBRA,01,AGUATA,02,Achina II,004,GIRLS SECONDARY SCHOOL II
ANAMBRA,01,AGUATA,02,Achina II,005,AMANWAFOR VILLAGE HALL I (AMANWAFOR SQUARE I)
ANAMBRA,01,AGUATA,02,Achina II,006,AMANWAFOR VILLAGE HALL II (AMANWAFOR SQUARE II)
ANAMBRA,01,AGUATA,02,Achina II,007,CHARITY NUR/PRI SCH. (AMANWAFOR/ABUDUM SQUARE)
ANAMBRA,01,AGUATA,02,Achina II,008,AMANWAFOR VILLAGE HALL III (AMANWAFOR SQUARE III)
ANAMBRA,01,AGUATA,02,Achina II,009,OBINIKPA PRY. SCHOOL I
ANAMBRA,01,AGUATA,02,Achina II,010,OBINIKPA PRY. SCHOOL II
ANAMBRA,01,AGUATA,02,Achina II,011,ST. CHARLES SEC. SCH. (UGWUOCHA SQUARE)
ANAMBRA,01,AGUATA,02,Achina II,012,UMUELEKE HALL II
ANAMBRA,01,AGUATA,02,Achina II,013,UDARA-EKE HALL (UDARA-EKE SQUARE)
ANAMBRA,01,AGUATA,02,Achina II,014,PROGRESSIVE SCH. II
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,001,CENTRAL SCHOOL I
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,002,CENTRAL SCHOOL II
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,003,TOWN HALL I
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,004,TOWN HALL II
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,005,OBIOFIA PRY. SCHOOL
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,006,"PRY. SCHOOL, AGULUEZE CHUKWU I"
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,007,"PRY. SCHOOL, AGULUEZE CHUKWU II"
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,008,LONDON SCIENCE I
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,009,LONDON SCIENCE II
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,010,LONDON SCIENCE III
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,011,NKWO MARKET I
ANAMBRA,01,AGUATA,03,Agulueze Chukwu,012,NKWO MARKET II
ANAMBRA,01,AGUATA,04,Akpo,001,AKPO TOWN HALL I
ANAMBRA,01,AGUATA,04,Akpo,002,AKPO TOWN HALL II
ANAMBRA,01,AGUATA,04,Akpo,003,UDOKA SCHOOL
ANAMBRA,01,AGUATA,04,Akpo,004,AGBAELU VILLAGE HALL I
ANAMBRA,01,AGUATA,04,Akpo,005,UHUALA HALL I
ANAMBRA,01,AGUATA,04,Akpo,006,UMUEZE VILLAGE HALL (UMUEZE VILLAGE SQUARE)
ANAMBRA,01,AGUATA,04,Akpo,007,AMAIFE HALL I
ANAMBRA,01,AGUATA,04,Akpo,008,UDO VILLAGE HALL
ANAMBRA,01,AGUATA,04,Akpo,009,EGBUIKE PRY. SCHOOL
ANAMBRA,01,AGUATA,04,Akpo,010,AGBAELU VILLAGE HALL II
ANAMBRA,01,AGUATA,04,Akpo,011,UHUALA HALL II
ANAMBRA,01,AGUATA,04,Akpo,012,AMAIFE HALL II
ANAMBRA,01,AGUATA,05,Amesi,001,CENTRAL SCHOOL I
ANAMBRA,01,AGUATA,05,Amesi,002,CENTRAL SCHOOL II
ANAMBRA,01,AGUATA,05,Amesi,003,CENTRAL SCHOOL III
ANAMBRA,01,AGUATA,05,Amesi,004,CENTRAL SCHOOL IV
ANAMBRA,01,AGUATA,05,Amesi,005,CENTRAL SCHOOL V
ANAMBRA,01,AGUATA,05,Amesi,006,COMMUNITY PRY. SCHOOL I
ANAMBRA,01,AGUATA,05,Amesi,007,COMMUNITY PRY. SCHOOL II
ANAMBRA,01,AGUATA,05,Amesi,008,COMMUNITY PRY. SCHOOL III
ANAMBRA,01,AGUATA,05,Amesi,009,COMMUNITY PRY. SCHOOL IV
ANAMBRA,01,AGUATA,05,Amesi,010,SOCIAL CENTRE I
ANAMBRA,01,AGUATA,05,Amesi,011,SOCIAL CENTRE II
ANAMBRA,01,AGUATA,05,Amesi,012,SOCIAL CENTRE III
ANAMBRA,01,AGUATA,05,Amesi,013,SOCIAL CENTRE IV
ANAMBRA,01,AGUATA,05,Amesi,014,UDARA-EKO VILLAGE HALL (UDURA-EKO SQUARE)
ANAMBRA,01,AGUATA,05,Amesi,015,SOCIAL CENTRE V
ANAMBRA,01,AGUATA,06,Ekwulobia I,001,OFOSIE HALL I
ANAMBRA,01,AGUATA,06,Ekwulobia I,002,OFOSIE HALL II
ANAMBRA,01,AGUATA,06,Ekwulobia I,003,CENTRAL SCHOOL
ANAMBRA,01,AGUATA,06,Ekwulobia I,004,UMUEZE NWAFOR PRY. SCHOOL
ANAMBRA,01,AGUATA,06,Ekwulobia I,005,AMAUDO UMUOWELE
ANAMBRA,01,AGUATA,06,Ekwulobia I,006,FUTURE HOPE PRIMARY SCHOOL I (EZENECHE SQUARE I)
ANAMBRA,01,AGUATA,06,Ekwulobia I,007,FUTURE HOPE PRIMARY SCHOOL II (EZENECHE SQUARE II)
ANAMBRA,01,AGUATA,06,Ekwulobia I,008,UMUEZEUDU HALL I
ANAMBRA,01,AGUATA,06,Ekwulobia I,009,UMUEZEUDU HALL II
ANAMBRA,01,AGUATA,06,Ekwulobia I,010,EZEZUEGBU CENTRE I
ANAMBRA,01,AGUATA,06,Ekwulobia I,011,EZEZUEGBU CENTRE II
ANAMBRA,01,AGUATA,06,Ekwulobia I,012,UMUEZEUNOFOR PRIMARY SCHOOL I (IHUOKPALA SQUARE I)
ANAMBRA,01,AGUATA,06,Ekwulobia I,013,UMUEZEUNOFOR PRIMARY SCHOOL II (IHUOKPALA SQUARE II)
ANAMBRA,01,AGUATA,06,Ekwulobia I,014,NKONO VILLAGE HALL I (OBI-NKWO SQUARE I)
ANAMBRA,01,AGUATA,06,Ekwulobia I,015,NKONO VILLAGE HALL II (OBI-NKWO SQUARE II)
ANAMBRA,01,AGUATA,06,Ekwulobia I,016,OBI UMUCHI HALL I (AMAUDO SQUARE I)
ANAMBRA,01,AGUATA,06,Ekwulobia I,017,OBI UMUCHI HALL II (AMAUDO SQUARE II)
ANAMBRA,01,AGUATA,07,Ekwulobia II,001,UMUOCHUBA VILLAGE HALL I (EZEKANNAGHA SQUARE I)
ANAMBRA,01,AGUATA,07,Ekwulobia II,002,UMUOCHUBA VILLAGE HALL II (EZEKANNAGHA SQUARE II)
ANAMBRA,01,AGUATA,07,Ekwulobia II,003,AGBA VILLAGE HALL
ANAMBRA,01,AGUATA,07,Ekwulobia II,004,COMMUNITY PRY. SCHOOL
ANAMBRA,01,AGUATA,07,Ekwulobia II,005,EZIAGULU PRY. SCHOOL
ANAMBRA,01,AGUATA,07,Ekwulobia II,006,NWANEBO PRY. SCHOOL I
ANAMBRA,01,AGUATA,07,Ekwulobia II,007,NWANEBO PRY. SCHOOL II
ANAMBRA,01,AGUATA,07,Ekwulobia II,008,KINDER ULA
ANAMBRA,01,AGUATA,07,Ekwulobia II,009,G.S.S. EKWULOBIA
ANAMBRA,01,AGUATA,07,Ekwulobia II,010,EZEAGULU HALL (AMOBI SQUARE)
ANAMBRA,01,AGUATA,07,Ekwulobia II,011,WOMEN CENTRE (ATUOCHA SQUARE)
ANAMBRA,01,AGUATA,07,Ekwulobia II,012,EZIAGULU HALL
ANAMBRA,01,AGUATA,07,Ekwulobia II,013,UMUOCHUBA VILLAGE HALL (EKEMEZIE SQUARE)
ANAMBRA,01,AGUATA,07,Ekwulobia II,014,AGBA PRY. SCHOOL
ANAMBRA,01,AGUATA,07,Ekwulobia II,015,DELIGHT INT. SCHOOL
ANAMBRA,01,AGUATA,07,Ekwulobia II,016,UMUOMA HALL
ANAMBRA,01,AGUATA,07,Ekwulobia II,017,HEALTH CENTRE
ANAMBRA,01,AGUATA,07,Ekwulobia II,018,AGUATA HIGH SCHOOL
ANAMBRA,01,AGUATA,07,Ekwulobia II,019,UMUEKPILI DEV. HALL (EZEOKOLI SQUARE)
ANAMBRA,01,AGUATA,07,Ekwulobia II,020,UMUEZEOJUO HALL (EZEILOEGBUNA SQUARE)
ANAMBRA,01,AGUATA,08,Ezinifite I,001,TOWN HALL I
ANAMBRA,01,AGUATA,08,Ezinifite I,002,TOWN HALL II
ANAMBRA,01,AGUATA,08,Ezinifite I,003,AKPUNOJI COMMUNITY SCHOOL I
ANAMBRA,01,AGUATA,08,Ezinifite I,004,AKPUNOJI COMMUNITY SCHOOL II
ANAMBRA,01,AGUATA,08,Ezinifite I,005,IGWEBUIKE PRY. SCHOOL I
ANAMBRA,01,AGUATA,08,Ezinifite I,006,IGWEBUIKE PRY. SCHOOL II
ANAMBRA,01,AGUATA,08,Ezinifite I,007,OLD AKPUNOJI I
ANAMBRA,01,AGUATA,08,Ezinifite I,008,OLD AKPUNOJI II
ANAMBRA,01,AGUATA,08,Ezinifite I,009,UMUAGU KINDERGATIN I
ANAMBRA,01,AGUATA,08,Ezinifite I,010,UMUAGU KINDERGATIN II
ANAMBRA,01,AGUATA,09,Ezinifite II,001,OGBUGBAOGU PRY. SCHOOL I
ANAMBRA,01,AGUATA,09,Ezinifite II,002,OGBUGBAOGU PRY. SCHOOL II
ANAMBRA,01,AGUATA,09,Ezinifite II,003,B.S.S.
ANAMBRA,01,AGUATA,09,Ezinifite II,004,ANULI PRY. SCHOOL
ANAMBRA,01,AGUATA,09,Ezinifite II,005,CIVIC CENTRE
ANAMBRA,01,AGUATA,09,Ezinifite II,006,NWAHIA KINDER SCHOOL
ANAMBRA,01,AGUATA,09,Ezinifite II,007,EZIHU/AFOR
ANAMBRA,01,AGUATA,09,Ezinifite II,008,OZALLA CENTRE
ANAMBRA,01,AGUATA,09,Ezinifite II,009,UMUOBI KINDER SCHOOL
ANAMBRA,01,AGUATA,09,Ezinifite II,010,UMUEZENWA CENTRE
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,001,PRIMARY SCHOOL OBIUNO I
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,002,PRIMARY SCHOOL OBIUNO II
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,003,OBIUNO YOUTHS CENTRE I
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,004,OBIUNO YOUTHS CENTRE II
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,005,AMAKPU PRY. SCH NGO (AMAKPU SQUARE)
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,006,"PRY. SCHOOL, NGO"
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,007,G.S.S IGBO-UKWU I
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,008,MGBENDO HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,009,IHUOFOR HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,010,EZEKWEKA HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,011,AMAEKULU VILLAGE HALL (AMAUDO/AKUKWA SQUARE)
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,012,IHUANUKA HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,013,FUTURE HOPE NUR/PRY SCH. (NGO SQUARE)
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,014,EZEACHAOKE HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,015,UMUAZUCHAOKE HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,016,CENTRAL SCHOOL I
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,017,CENTRAL SCHOOL II
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,018,OBIGBO C.S
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,019,UMUNONO HALL
ANAMBRA,01,AGUATA,10,Igbo-Ukwu I,020,OGWUGWUAGU PRY. SCHOOL
