state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
BAUCHI,01,ALKALERI,01,Alkaleri,001,UNGUWAR AJIYA I - VILLAGE HEAD OFFICE I
BAUCHI,01,ALKALERI,01,Alkaleri,002,UNGUWAR AJIYA I - VILLAGE HEAD OFFICE II
BAUCHI,01,ALKALERI,01,Alkaleri,003,UNGUWAR AJIYA II - UPPER AREA COURT
BAUCHI,01,ALKALERI,01,Alkaleri,004,UNGUWAR AJIYA III - UPPER AREA COURT
BAUCHI,01,ALKALERI,01,Alkaleri,005,SARKIN SHANU I - VIEWING CENTRE I
BAUCHI,01,ALKALERI,01,Alkaleri,006,SARKIN SHANU I - VIEWING CENTRE II
BAUCHI,01,ALKALERI,01,Alkaleri,007,SARKIN SHANU II - CENTRAL PRIMARY SCHOOL
BAUCHI,01,ALKALERI,01,Alkaleri,008,SARKIN SHANU III - CENTRAL PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,01,Alkaleri,009,SARKIN SHANU III - CENTRAL PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,01,Alkaleri,010,SARKIN TASHA - BAYAN BANKI I
BAUCHI,01,ALKALERI,01,Alkaleri,011,SARKIN TASHA - BAYAN BANKI II
BAUCHI,01,ALKALERI,01,Alkaleri,012,UNGUWAR BABA I - VIEWING CENTRE
BAUCHI,01,ALKALERI,01,Alkaleri,013,UNGUWAR BABA II - VIEWING CENTRE
BAUCHI,01,ALKALERI,01,Alkaleri,014,UNGUWAR BABA - BLIND WORKSHOP
BAUCHI,01,ALKALERI,01,Alkaleri,015,GUNCIGUYI PRIMARY SCH. (UNG. SARKIN KUDU)
BAUCHI,01,ALKALERI,01,Alkaleri,016,MASURI PRIMARY SCH. (UNGUWAR MASURI)
BAUCHI,01,ALKALERI,01,Alkaleri,017,MAIMADIRI - MAIMADIRI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,01,Alkaleri,018,MAIMADIRI II - MAIMADIRI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,01,Alkaleri,019,GORONDO PRIMARY SCH. (GORONDOK/S)
BAUCHI,01,ALKALERI,01,Alkaleri,020,TARANGADI - TARANGADI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,01,Alkaleri,021,KAFI - KAFI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,01,Alkaleri,022,GALANWO PRIMARY SCH. (GALANWO-K/S)
BAUCHI,01,ALKALERI,02,Pali,001,KWALA PRIMARY SCH. I (PALI EAST-K/S/KWALA I)
BAUCHI,01,ALKALERI,02,Pali,002,KWALA PRIMARY SCH. II (PALI EAST-K/S/KWALAII)
BAUCHI,01,ALKALERI,02,Pali,003,BABANI PRIMARY SCH. (PALI SOUTH EAST)
BAUCHI,01,ALKALERI,02,Pali,004,UNGUWAR DAN LAWAN PALI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,005,GALE - GALE PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,006,SABON GARI - SABON GARI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,007,LAFIYA PRIMARY SCH. (LAFIYA-K/S)
BAUCHI,01,ALKALERI,02,Pali,008,GARIN NA - ALLAH - GARIN NA-ALLAH PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,02,Pali,009,GARIN NA - ALLAH - GARIN NA-ALLAH PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,02,Pali,010,PALI CENTRAL - PALI PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,02,Pali,011,PALI - PALI PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,02,Pali,012,KASHARA PRIMARY SCH.I (GARINSARKIN RUWA-K/S/KASHARA)
BAUCHI,01,ALKALERI,02,Pali,013,KASHARA PRIMARY SCH. II (KASHARA-K/S KASHARA)
BAUCHI,01,ALKALERI,02,Pali,014,BAKIN KOGI - BAKIN KOGI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,015,BAMBI DAWA - B./ D./ PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,016,RANGA NEAR MANGO TREE (RANGA-K/S)
BAUCHI,01,ALKALERI,02,Pali,017,BONGO PRIMARY SCH. (RANGAN BONGA KOFAR FADA)
BAUCHI,01,ALKALERI,02,Pali,018,DOKA - DOKA PRIMARY SCHOOL
BAUCHI,01,ALKALERI,02,Pali,019,BURIBURI PRIMARY SCH. (BURI)
BAUCHI,01,ALKALERI,02,Pali,020,YALA PRIMARY SCH. (YALA-KOFAR FADA)
BAUCHI,01,ALKALERI,02,Pali,021,POTTO PRIMARY SCH. (POTTO)
BAUCHI,01,ALKALERI,03,Gar,001,GAR GOVT. DAY SEC. SCH. (GAR FADA-K/F/S/)
BAUCHI,01,ALKALERI,03,Gar,002,GAR MAKARANTA - GAR PRIMARY SCHOOL
BAUCHI,01,ALKALERI,03,Gar,003,GAR CENTRAL - GAR COOPS
BAUCHI,01,ALKALERI,03,Gar,004,FANTI M.D.G CLINIC (FANTI TASHA I-K/S/FANTI I)
BAUCHI,01,ALKALERI,03,Gar,005,FANTI PRIMARY SCH. (FANTI TASHA I-K/S/FANTI II)
BAUCHI,01,ALKALERI,03,Gar,006,FANTI BOHOLE MAJE (FANTI TASHA II-K/S/FANTI)
BAUCHI,01,ALKALERI,03,Gar,007,GALAMBI YALWA PRI. SCH. (GALAMBI YELWA-K/S/YELWA)
BAUCHI,01,ALKALERI,03,Gar,008,BADA KOSHI - BADA KOSHI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,03,Gar,009,MONNA PRIMARY SCH. (MONNA-K/S)
BAUCHI,01,ALKALERI,03,Gar,010,GANGAR PRIMARY SCH. (GANGAR-K/S)
BAUCHI,01,ALKALERI,03,Gar,011,GYANGYAN PRIMARY SCH. (GYANGYAN-K/S)
BAUCHI,01,ALKALERI,03,Gar,012,GURUNTU DISPENSARY (GURUNTU PRY.SCH)
BAUCHI,01,ALKALERI,03,Gar,013,GURUNTU - K/ S/ GURUNTU
BAUCHI,01,ALKALERI,03,Gar,014,BARTAK - BARTAK PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,001,SARKIN YAKI PRI. SCH. (UNG. TURAKI-K.M HAMMA)
BAUCHI,01,ALKALERI,04,Gwaram,002,GWARAM DISPINSARY (UNG. BABA GAMJI I-KOFAR SALISU)
BAUCHI,01,ALKALERI,04,Gwaram,003,NEAR GANJI BOREHOLE (UNG. BABA GAMJI II-K.M ABDULLAHI)
BAUCHI,01,ALKALERI,04,Gwaram,004,GWARAM EAST - GWARAM PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,005,GWARAM EAST GWARAM DISPENSARY
BAUCHI,01,ALKALERI,04,Gwaram,006,BOREHOLE (GWARAM WEST-KOFAR ALHAJI BAKOJI)
BAUCHI,01,ALKALERI,04,Gwaram,007,NEAR RIJIYAR MAMUDA (GWARAM WEST-KOFAR KAWUN KAWO)
BAUCHI,01,ALKALERI,04,Gwaram,008,KUFA PRIMARY SCH. (KUFA GANDU-KOFAR SARKI KUFA)
BAUCHI,01,ALKALERI,04,Gwaram,009,SHAROLDE PRI. SCH. (KUFA SHIROLDE-KOFAR SARKI)
BAUCHI,01,ALKALERI,04,Gwaram,010,KUFA JALINGO - KOFAR SARKI PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,011,MAIGANA ISLAMIYYA SCH. (UNG. CHIROMA-KOFAR MALLAM MAIGANA)
BAUCHI,01,ALKALERI,04,Gwaram,012,SARKI YARA ISLAMIYYA SCH. (UNG. WAZIRI-GWARAM)
BAUCHI,01,ALKALERI,04,Gwaram,013,UNGUWAR WAZIRI - KOFAR SARKI YARA
BAUCHI,01,ALKALERI,04,Gwaram,014,GOKARU EAST I - GOKARU PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,015,GOKARU EAST II - GOKARU PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,016,GOKARU WEST I - GOKARU DISPENSARY
BAUCHI,01,ALKALERI,04,Gwaram,017,GOKARU WEST I I - GOKARU DISPENSARY
BAUCHI,01,ALKALERI,04,Gwaram,018,TAFARE PRI. SCH. (TAFARE-KOFAR SARKI)
BAUCHI,01,ALKALERI,04,Gwaram,019,KACICIYA - KACICIYA PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,020,KARSHI PRI. SCH. (KARSHI-KOFAR SARKI)
BAUCHI,01,ALKALERI,04,Gwaram,021,NASARAWA PRI. SCH. (NASARAWA-KOFAR SARKI)
BAUCHI,01,ALKALERI,04,Gwaram,022,GYAR - GYAR PRIMARY SCHOOL
BAUCHI,01,ALKALERI,04,Gwaram,023,GUMA - GUMA PRIMARY SCHOOL
BAUCHI,01,ALKALERI,05,Maimadi,001,MAIMADI MAKARANTA - MAIMADI PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,05,Maimadi,002,MAIMADI MAKARANTA -MAIMADI PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,05,Maimadi,003,KWAIMAWA - KWAIMAWA PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,05,Maimadi,004,KWAIMAWA - KWAIMAWA PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,05,Maimadi,005,MAI ARI PRI. SCH. (MAI ARI AREWA-K.S)
BAUCHI,01,ALKALERI,05,Maimadi,006,MAI ARI AREWA - PRIMARY SCHOOL
BAUCHI,01,ALKALERI,05,Maimadi,007,NEAR DOROWAN TASHA (ZADAWA-K.S)
BAUCHI,01,ALKALERI,05,Maimadi,008,NEAR TSAMIYA TREE (WURO BATURE-K.S JADA)
BAUCHI,01,ALKALERI,05,Maimadi,009,SHUGU PRI. SCH. (SHUGU-K.S)
BAUCHI,01,ALKALERI,05,Maimadi,010,BUBU - BUBU PRIMARY SCHOOL
BAUCHI,01,ALKALERI,05,Maimadi,011,"NEAR KUKAN TASHA (BUBU KUFA-K,S)"
BAUCHI,01,ALKALERI,05,Maimadi,012,JADA PRIMARY SCHOOL (JADA-K.S)
BAUCHI,01,ALKALERI,06,Dan Kungibar,001,DAN MAKARANTA - DAN PRIMARY SCHOOL
BAUCHI,01,ALKALERI,06,Dan Kungibar,002,DAN S.G DIMIS - DAN PRIMARY SCHOOL
BAUCHI,01,ALKALERI,06,Dan Kungibar,003,SABON GARI PRI. SCH. (SABON GARI-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,004,DAGUDI - DAGUDI PRIMARY SCHOOL I
BAUCHI,01,ALKALERI,06,Dan Kungibar,005,DAGUDI - DAGUDI PRIMARY SCHOOL II
BAUCHI,01,ALKALERI,06,Dan Kungibar,006,JIGAWA PRI. SCH. (JIGAWA-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,007,KUNKAR DISPENSARY (KUNKAR-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,008,BAKIN DUTSE - DISTRICT HEAD OFFICE
BAUCHI,01,ALKALERI,06,Dan Kungibar,009,NATSIRA PRI. SCH. (NATSIRA-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,010,BADAKOSHI PRI. SCH. (BADA KOSHI-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,011,YALWAN DUGURI PRI. SCH. (YALWAN DUGURI-KOFAR SARKI)
BAUCHI,01,ALKALERI,06,Dan Kungibar,012,KUNGIBAR - JUNIOR SECONDARY SCHOOL
BAUCHI,01,ALKALERI,06,Dan Kungibar,013,RAFAWA - RAFAWA PRIMARY SCHOOL
BAUCHI,01,ALKALERI,06,Dan Kungibar,014,YASHI - PRIMARY SCHOOL
