state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
BENUE,01,ADO,01,Akoge/Ogbilolo,001,"OSUDU, OSUDU PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,002,"OGBILOLO 1, OGBILOLO PLAY GRD."
BENUE,01,ADO,01,Akoge/Ogbilolo,003,"AKPOGE, AKPOGE PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,004,"OTOKILO, OTOKILO PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,005,"OKPATOBOM, OKPATOBOM PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,006,"ONWA, ONWA PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,007,"OKPAKO, OKPAKO PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,008,"OJALLA, MKT SQ."
BENUE,01,ADO,01,Akoge/Ogbilolo,009,"AJENOWA, PLAY GRD."
BENUE,01,ADO,01,Akoge/Ogbilolo,010,"ONOGWU, PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,011,"ANMETA, PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,012,"UMUEZE KOHA, PLAY GRD"
BENUE,01,ADO,01,Akoge/Ogbilolo,013,EFOHA PLAY GRD.
BENUE,01,ADO,01,Akoge/Ogbilolo,014,"OGBILOLO II, PLAY GRD"
BENUE,01,ADO,02,Apa,001,"METHODIST PRI SCHO I, SCH. COMP.APA"
BENUE,01,ADO,02,Apa,002,"R.C.M. SCH. APA, SCH. COMP"
BENUE,01,ADO,02,Apa,003,APA I MARKETSQ. MARKET SQ.
BENUE,01,ADO,02,Apa,004,"APA II, OPPOSITE AUSTIN CHEM."
BENUE,01,ADO,02,Apa,005,"APA III, BY A1-UNAZI PLAY GRD"
BENUE,01,ADO,02,Apa,006,APA IV BY A1-KPACHO BORE HOLE
BENUE,01,ADO,02,Apa,007,APA OGBOZU MARKET SQ.
BENUE,01,ADO,02,Apa,008,"OKPODO, PLAY GRD"
BENUE,01,ADO,02,Apa,009,"AZIGBILEDE, PLAY GRD"
BENUE,01,ADO,02,Apa,010,"OKPOBILA, MKT SQ."
BENUE,01,ADO,02,Apa,011,"OGEBE, PRI SCH."
BENUE,01,ADO,02,Apa,012,"UMUEZEOKA, PLAY GRD"
BENUE,01,ADO,02,Apa,013,"IVEISE, PRI. SCH."
BENUE,01,ADO,02,Apa,014,"NETH. PRI. SCH. II SCH. COMP, APA"
BENUE,01,ADO,03,Ekile,001,"OFUNAGA, METH. PRI. SCHOOL"
BENUE,01,ADO,03,Ekile,002,"BY PRIMARY SCHOOL, ATALOGA/NDUKABI"
BENUE,01,ADO,03,Ekile,003,"IYOMA I, PLAYGROUND"
BENUE,01,ADO,03,Ekile,004,"IYOMAI, PLAY GROUND"
BENUE,01,ADO,03,Ekile,005,"BY METH. PRI. SCH., ONYENE"
BENUE,01,ADO,03,Ekile,006,"NDIGWE, PLAY GROUND"
BENUE,01,ADO,03,Ekile,007,BY PRI. SCH. NSIDA-NDIGWE
BENUE,01,ADO,03,Ekile,008,"ODOKEM, PLAY GROUND"
BENUE,01,ADO,03,Ekile,009,METH. PRI. SCH. ANMEKA EKPUFU
BENUE,01,ADO,03,Ekile,010,"ANMEKA NSIDA, NDOUOBASI MKT. SQ"
BENUE,01,ADO,03,Ekile,011,"EGEDE, PLAY GROUND"
BENUE,01,ADO,03,Ekile,012,"ALOMO, PLAY GROUND"
BENUE,01,ADO,03,Ekile,013,"ONOGWU, PLAY GROUND"
BENUE,01,ADO,03,Ekile,014,"IYOMA II, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,001,"L.G. CLINIC I, BY CLINIC PRE. IGUMALE I"
BENUE,01,ADO,04,Igumale I,002,"OTURUKPO, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,003,"OGONGO, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,004,"IGAH, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,005,"A1-AMEH, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,006,"OSUKPO, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,007,"OLOKWU, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,008,"OSABO, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,009,"OGBEE, PLAY GROUND"
BENUE,01,ADO,04,Igumale I,010,"L.G. CLINIC II, BY CLINIC PRE. IGUMALE"
BENUE,01,ADO,05,Igumale II,001,"CAMP. I, MKT. SQ."
BENUE,01,ADO,05,Igumale II,002,"CAMP II, L.G. DISPENSARY"
BENUE,01,ADO,05,Igumale II,003,"UMU-IGBOKE, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,004,"UJE-UMUEZOKOHA, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,005,"UMENYI, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,006,"ETENYI, MKT SQ."
BENUE,01,ADO,05,Igumale II,007,"IKPENGBE, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,008,"AKPA VILLAGE, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,009,"MISSION GROUND, PLAY GROUND"
BENUE,01,ADO,05,Igumale II,010,"CAMP III, MKT. SQ."
BENUE,01,ADO,06,Ijigban,001,"EHAJE, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,002,"IPOLE I, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,003,"OGONGO, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,004,OBAKOTO METH. PRI. SCH.
BENUE,01,ADO,06,Ijigban,005,"EZZA ODUMOKE, L.G.E.A. SCH."
BENUE,01,ADO,06,Ijigban,006,"ONOGWU, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,007,UDU-DENYI/NSURA MKT SQ.
BENUE,01,ADO,06,Ijigban,008,"NDUBAN, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,009,OFFIANKA BY TAX MASTER'S HOUSE
BENUE,01,ADO,06,Ijigban,010,"ONUEBOR, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,011,ODIREWU/OJABA PRI. SCH.
BENUE,01,ADO,06,Ijigban,012,UGBENYUM MKT SQ
BENUE,01,ADO,06,Ijigban,013,"ANMEKA, PLAY GROUND"
BENUE,01,ADO,06,Ijigban,014,"IPOLE II, PLAY GROUND"
BENUE,01,ADO,07,Ogege,001,"ST JOSEPH PRIM SCH, UDEBO ORIJO"
BENUE,01,ADO,07,Ogege,002,"UNWEJE/ALOMO RIJO, L.G.E.A. SCH. RIJO"
BENUE,01,ADO,07,Ogege,003,OKWASI PRIM SCHOOL
BENUE,01,ADO,07,Ogege,004,"UDEBO OGI, PLAY GROUND"
BENUE,01,ADO,07,Ogege,005,ST. MARY'S PRI. SCH. IKPOMOLOKPO
BENUE,01,ADO,07,Ogege,006,"L.G.E.A. PRI. SCH., AYAGA"
BENUE,01,ADO,07,Ogege,007,"OGEDEGI UDEGI, PLAY GROUND"
BENUE,01,ADO,07,Ogege,008,"LGEA PRIM SCH, UDEBO WATUOLO"
BENUE,01,ADO,07,Ogege,009,"AKWACHA, PLAY GROUND"
