state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
BORNO,01,ABADAM,01,Arege,001,AREGE PRI. SCH.
BORNO,01,ABADAM,01,Arege,002,DOGON CHUKU
BORNO,01,ABADAM,01,Arege,003,METELE PRI. SCH. I
BORNO,01,ABADAM,01,Arege,004,METELE PRI. SCH. II
BORNO,01,ABADAM,01,Arege,005,KANNAMA
BORNO,01,ABADAM,01,Arege,006,TUMBUN MARI I
BORNO,01,ABADAM,01,Arege,007,TUMBUN MARI II
BORNO,01,ABADAM,01,Arege,008,TUMBUN GINI I
BORNO,01,ABADAM,01,Arege,009,TUMBUN GINI II
BORNO,01,ABADAM,02,Banowa,001,BANOWA PRI. SCH.
BORNO,01,ABADAM,02,Banowa,002,GARERE PRI. SCH.
BORNO,01,ABADAM,02,Banowa,003,LIMBARI
BORNO,01,ABADAM,03,Fuguwa,001,ALLA
BORNO,01,ABADAM,03,Fuguwa,002,BULANGILA
BORNO,01,ABADAM,03,Fuguwa,003,FOGUWA
BORNO,01,ABADAM,03,Fuguwa,004,GAWASA I
BORNO,01,ABADAM,03,Fuguwa,005,LARISKI
BORNO,01,ABADAM,03,Fuguwa,006,MINARE
BORNO,01,ABADAM,03,Fuguwa,007,MUSUGUN
BORNO,01,ABADAM,03,Fuguwa,008,NGA'AM PRI. SCH.
BORNO,01,ABADAM,03,Fuguwa,009,TALLAM
BORNO,01,ABADAM,04,Jabullam,001,DAYA PRIMARY SCHOOL
BORNO,01,ABADAM,04,Jabullam,002,JABULLAM EAST
BORNO,01,ABADAM,04,Jabullam,003,JABULLAM PRI. SCH. I
BORNO,01,ABADAM,04,Jabullam,004,JABULLAM PRI. SCH. II
BORNO,01,ABADAM,04,Jabullam,005,YAUMA WANGO
BORNO,01,ABADAM,05,Kudokurgu,001,ANGUWAN MODU
BORNO,01,ABADAM,05,Kudokurgu,002,ANGUWAN SULEMAM
BORNO,01,ABADAM,05,Kudokurgu,003,COMM. VIEWING CENTRE
BORNO,01,ABADAM,05,Kudokurgu,004,DUGURI PRI. SCH.
BORNO,01,ABADAM,05,Kudokurgu,005,G.S.S M/FATORI
BORNO,01,ABADAM,05,Kudokurgu,006,KUDOKURGU H/CENTRE
BORNO,01,ABADAM,05,Kudokurgu,007,KUDOKURGU BARRACKS
BORNO,01,ABADAM,05,Kudokurgu,008,"LIMANTI, MOBBARTI"
BORNO,01,ABADAM,06,Mallamfatori Kessa,001,ANGUWAN DINKIMA
BORNO,01,ABADAM,06,Mallamfatori Kessa,002,BUDUMARI
BORNO,01,ABADAM,06,Mallamfatori Kessa,003,DORO PRI. SCH.
BORNO,01,ABADAM,06,Mallamfatori Kessa,004,KESSA'A LAWANTI
BORNO,01,ABADAM,06,Mallamfatori Kessa,005,LIMANTI I
