state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
CROSS RIVER,01,ABI,01,Adadama,001,ADADAMA PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,002,IVONE PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,003,EKPON MARKET SQUARE
CROSS RIVER,01,ABI,01,Adadama,004,IMINA PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,005,IBALEBO PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,006,ISONG INYANG PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,007,EMINKWE PLAY GROUND
CROSS RIVER,01,ABI,01,Adadama,008,EKPON TOWN HALL
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,001,AFAFANYI PRIMARY SCHOOL
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,002,AKPOZA PLAY GROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,003,EZOMEZOM PLAY GROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,004,BAZOHURE PLAYGROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,005,ABE UYO PLAY GROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,006,ABE OKUM PLAY GROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,007,ABE ENYI USO PLAY GROUND
CROSS RIVER,01,ABI,02,Afafanyi/Igonigoni,008,"HEALTH CENTRE, IGONIGONI"
CROSS RIVER,01,ABI,03,Ebom,001,FUNAVAI PLAY GROUND
CROSS RIVER,01,ABI,03,Ebom,002,BAWETITI PLAY GROUND
CROSS RIVER,01,ABI,03,Ebom,003,ABEGOR TOWN HALL
CROSS RIVER,01,ABI,03,Ebom,004,ANOIKPTE PLAYGROUND
CROSS RIVER,01,ABI,03,Ebom,005,REHUMOMET PLAY GROUND
CROSS RIVER,01,ABI,03,Ebom,006,HEALTH CENTRE
CROSS RIVER,01,ABI,03,Ebom,007,BANOBON TOWN HALL
CROSS RIVER,01,ABI,03,Ebom,008,ABE AWARI
CROSS RIVER,01,ABI,03,Ebom,009,EGBEZUM PLAY GROUND
CROSS RIVER,01,ABI,03,Ebom,010,BAROMI TOWN HALL
CROSS RIVER,01,ABI,03,Ebom,011,EBOM PRIMARY SCHOOL
CROSS RIVER,01,ABI,04,Ediba,001,NEAR MRS. BASSEY OUT'S COMP
CROSS RIVER,01,ABI,04,Ediba,002,NEAR UBI UKA'S COMPOUND
CROSS RIVER,01,ABI,04,Ediba,003,ENOBOM PLAY GROUND
CROSS RIVER,01,ABI,04,Ediba,004,ENUGWEHUMA PLAYGROUND
CROSS RIVER,01,ABI,04,Ediba,005,NEAR ELDER UKPABI'S COMPOUND
CROSS RIVER,01,ABI,04,Ediba,006,USA PLAY GROUND ENUSOKWE
CROSS RIVER,01,ABI,04,Ediba,007,ENUGWEHUMA PLAY GROUND
CROSS RIVER,01,ABI,04,Ediba,008,OBOT UYO TOWN HALL
CROSS RIVER,01,ABI,04,Ediba,009,NEAR CHIEF UYO'S COMPOUND
CROSS RIVER,01,ABI,04,Ediba,010,ENINOM PLAY GROUND
CROSS RIVER,01,ABI,04,Ediba,011,ENINOM TOWN HALL
CROSS RIVER,01,ABI,04,Ediba,012,"NEAR UPO'S COMPOUND, WATERSIDE"
CROSS RIVER,01,ABI,04,Ediba,013,EZONO PLAY GROUND
CROSS RIVER,01,ABI,04,Ediba,014,AKPAN TOWN HALL
CROSS RIVER,01,ABI,04,Ediba,015,ABENA PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,001,ST. VINCENT PRIMARY SCHOOL ANONG
CROSS RIVER,01,ABI,05,Ekureku I,002,LIKPO TOWN HALL
CROSS RIVER,01,ABI,05,Ekureku I,003,ANONG LETAFOR PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,004,PRIMARY SCHOOL EKUREKU
CROSS RIVER,01,ABI,05,Ekureku I,005,AKPOHE PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,006,EZEKE PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,007,AKPANKU PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,008,EKUREKU MARKET SQUARE
CROSS RIVER,01,ABI,05,Ekureku I,009,AKAREFOR PLAY GROUND
CROSS RIVER,01,ABI,05,Ekureku I,010,ANONG TOWN HALL
CROSS RIVER,01,ABI,05,Ekureku I,011,LIKPO WATERSIDE TOWN HALL
CROSS RIVER,01,ABI,06,Ekureku II,001,NGARABE PLAY GROUND
CROSS RIVER,01,ABI,06,Ekureku II,002,"PRIMARY SCHOOL, AGBARA"
CROSS RIVER,01,ABI,06,Ekureku II,003,PRIMARY SCHOOL ITIEGEVE
CROSS RIVER,01,ABI,06,Ekureku II,004,"GOVERNMENT PRIMARY SCHOOL, EGBORONYI"
CROSS RIVER,01,ABI,06,Ekureku II,005,PCN EMINEKPON
CROSS RIVER,01,ABI,06,Ekureku II,006,NGARABE TOWNHALL
CROSS RIVER,01,ABI,06,Ekureku II,007,AGBARA PLAY GROUND
CROSS RIVER,01,ABI,07,Imabana I,001,POSTAL AGENCY
CROSS RIVER,01,ABI,07,Imabana I,002,OPPOSITE MARKET SQUARE
CROSS RIVER,01,ABI,07,Imabana I,003,PRIMARY SCHOOL I IMABANA
CROSS RIVER,01,ABI,07,Imabana I,004,"HEALTH CENTRE, AMOTOMOZI"
CROSS RIVER,01,ABI,07,Imabana I,005,AKPANKU PLAY GROUND
CROSS RIVER,01,ABI,07,Imabana I,006,"NEAR AGBOR, AGBOR'S COMPOUND KEKOI"
CROSS RIVER,01,ABI,07,Imabana I,007,NEAR EDOGHI ITOBO'S HOUSE ECHEKWU
CROSS RIVER,01,ABI,07,Imabana I,008,BA AZOGOR PLAY GROUND
CROSS RIVER,01,ABI,07,Imabana I,009,BA EMENYI PLAY GROUND
CROSS RIVER,01,ABI,07,Imabana I,010,"SECONDARY SCHOOL, EZOMEZOM"
CROSS RIVER,01,ABI,07,Imabana I,011,IGBOR PLAY GROUND
CROSS RIVER,01,ABI,08,Imabana II,001,BA AMO PLAY GROUND
CROSS RIVER,01,ABI,08,Imabana II,002,BA IKAKE PLAY GROUND
CROSS RIVER,01,ABI,08,Imabana II,003,BA EGBENG TOWN HALL
CROSS RIVER,01,ABI,08,Imabana II,004,LEHANGHA PRIMARY SCHOOL
CROSS RIVER,01,ABI,08,Imabana II,005,IKPALEGWA PLAY GROUND
CROSS RIVER,01,ABI,08,Imabana II,006,IKPALEGWA PRIMARY SCHOOL
CROSS RIVER,01,ABI,08,Imabana II,007,LEHANGHA PRIMARY SCHOOL
CROSS RIVER,01,ABI,08,Imabana II,008,EBOR PLAY GROUND
CROSS RIVER,01,ABI,09,Itigidi,001,LEVACHIE TOWN HALL
CROSS RIVER,01,ABI,09,Itigidi,002,COMMUNITY PRIMARY SCHOOL
CROSS RIVER,01,ABI,09,Itigidi,003,LEKPACHIEL PLAY GROUND
CROSS RIVER,01,ABI,09,Itigidi,004,OPPOSITE T N/09
CROSS RIVER,01,ABI,09,Itigidi,005,IKAMINE PLAY GROUND
CROSS RIVER,01,ABI,09,Itigidi,006,TN/II/N/S
CROSS RIVER,01,ABI,09,Itigidi,007,AGBA MOTOR PARK
CROSS RIVER,01,ABI,09,Itigidi,008,AGBA PLAY GROUND
CROSS RIVER,01,ABI,09,Itigidi,009,"PRIMARY SCHOOL, EMINEBOL"
CROSS RIVER,01,ABI,09,Itigidi,010,NEAR ELDER ASIBONG COMPOUND
CROSS RIVER,01,ABI,10,Usumutong,001,ABE UGO PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,002,EBOKWO PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,003,EGBEZU PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,004,ABE OMINMINI PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,005,ENOISHORI TOWN HALL
CROSS RIVER,01,ABI,10,Usumutong,006,ENOISHORI PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,007,ENOKPORE PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,008,ENOIKPOROTUM PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,009,ENOIDOM PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,010,EKPOKAN PLAY GROUND
CROSS RIVER,01,ABI,10,Usumutong,011,PRIMARY SCHOOL USUMUTONG
CROSS RIVER,02,AKAMKPA,01,Akamkpa Urban,001,ST. JOHN'S PRIMARY SCHOOL
CROSS RIVER,02,AKAMKPA,01,Akamkpa Urban,002,ST. JOHN'S PRIMARY SCHOOL
CROSS RIVER,02,AKAMKPA,01,Akamkpa Urban,003,ST. JOHN'S PRIMARY SCHOOL
