state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name,regd_voters,voting_points
DELTA,01,ANIOCHA NORTH,01,OBIOR,001,KANIDILIMA P/S - ISHIEKPE QUARTERS,1386,3
DELTA,01,ANIOCHA NORTH,01,OBIOR,002,KANIDILIMA P/S - OGBE AKWU,744,1
DELTA,01,ANIOCHA NORTH,01,OBIOR,003,KANIDILIMA P/S - OGBE ISSE,1016,2
DELTA,01,ANIOCHA NORTH,01,OBIOR,004,UKPALI P/S - OGBE UTU QUARTERS I,835,2
DELTA,01,ANIOCHA NORTH,01,OBIOR,005,UKPALI P/S - OGBE UTU QUARTERS II,660,1
DELTA,01,ANIOCHA NORTH,01,OBIOR,006,UKPALI P/S - IDUMU OZEI I,794,2
DELTA,01,ANIOCHA NORTH,01,OBIOR,007,UKPALI P/S - IDUMU OZEI II,689,1
DELTA,01,ANIOCHA NORTH,01,OBIOR,008,OFUOKWU P/S - OGBE AGIDI I,678,1
DELTA,01,ANIOCHA NORTH,01,OBIOR,009,OFUOKWU P/S - OGBE AGIDI II,515,1
DELTA,01,ANIOCHA NORTH,02,UGBO,001,GBONOZA P/S - ISHIEKPE QUARTERS I,1184,2
DELTA,01,ANIOCHA NORTH,02,UGBO,002,GBONOZA P/S - ISHIEKPE QUARTERS II,956,2
DELTA,01,ANIOCHA NORTH,02,UGBO,003,GBONOZA P/S - ISHIEKPE QUARTERS III,965,2
DELTA,01,ANIOCHA NORTH,02,UGBO,004,ANIEMEKA P/S - OGBE KENU QUARTERS I,1195,2
DELTA,01,ANIOCHA NORTH,02,UGBO,005,ANIEMEKA P/S - OGBE KENU QUARTERS II,1051,2
DELTA,01,ANIOCHA NORTH,02,UGBO,006,ISIOJI P/S - OGBE KENU I,1031,2
DELTA,01,ANIOCHA NORTH,02,UGBO,007,ISIOJI P/S - OGBE KENU II,891,2
DELTA,01,ANIOCHA NORTH,02,UGBO,008,IFEYINWA P/S - OGBE OBI QUARTERS I,829,2
DELTA,01,ANIOCHA NORTH,02,UGBO,009,IFEYINWA P/S - OGBE OBI QUARTERS II,848,2
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,001,OFUNNE P/S - UKPATU QUARTERS,919,2
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,002,OFUNNE P/S - OGBE OBI/OGBE EZI I,641,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,003,OFUNNE P/S - OGBE OBI/OGBE EZI II,600,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,004,POST OFFICE - OGBE ONEI,590,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,005,ANAGBA P/S - OGBE ONEI,651,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,006,DIEI P/S - USEBE/OGBEZE QUARTERS,635,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,007,DIEI P/S - UMUWADIA QUARTERS,292,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,008,DIEI P/S - OGBE ORJI QUARTERS,543,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,009,OJEOKPA P/S - UGBOBA I,730,1
DELTA,01,ANIOCHA NORTH,03,OBOMKPA,010,OJEOKPA P/S - UGBOBA II,526,1
DELTA,01,ANIOCHA NORTH,04,OLONA,001,IYIOGBE P/S - ISHIEKPE QUARTERS,1249,2
