state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
EDO,01,AKOKO-EDO,01,Igarra I,001,"UGBOGBO, OZEDI"
EDO,01,AKOKO-EDO,01,Igarra I,002,"UGBOGBO, BY CO-OPERATIVE STORE"
EDO,01,AKOKO-EDO,01,Igarra I,003,"UGBOGBO, KAJOLA ROAD"
EDO,01,AKOKO-EDO,01,Igarra I,004,"UGBOGBO NR., OMOKHIDE'S HOUSE"
EDO,01,AKOKO-EDO,01,Igarra I,005,"UGBOGBO, SECRETARIAT ROAD"
EDO,01,AKOKO-EDO,01,Igarra I,006,"UGBOGBO, OPPOSITE L.G. COUNCIL"
EDO,01,AKOKO-EDO,01,Igarra I,007,"UGBOGBO, OFUNAMI MKT. SQUARE"
EDO,01,AKOKO-EDO,01,Igarra I,008,"UGBOGBO, OPPOSITE OGOGORO JUNCTION."
EDO,01,AKOKO-EDO,01,Igarra I,009,"UGBOGBO, BY LAWANI'S HOUSE"
EDO,01,AKOKO-EDO,01,Igarra I,010,UGBOGBO OPPOSITE OGOGORO JN
EDO,01,AKOKO-EDO,01,Igarra I,011,"UGBOGBO, NEAR ASHIPA'S COMP."
EDO,01,AKOKO-EDO,01,Igarra I,012,"UGBOGBO, NEAR LAREMOH'S COMP."
EDO,01,AKOKO-EDO,01,Igarra I,013,"UGBOGBO, NR. JIMOH OCHIS HOUSE"
EDO,01,AKOKO-EDO,02,Igarra II,001,"UTUA 1, UTUA P/S"
EDO,01,AKOKO-EDO,02,Igarra II,002,"UTUA I, BY AJAYI'S COMP."
EDO,01,AKOKO-EDO,02,Igarra II,003,"UTUA I, OPPOSITE CUSTOMARY COURT"
EDO,01,AKOKO-EDO,02,Igarra II,004,UTUA NR. GADIMOH'S HOUSE
EDO,01,AKOKO-EDO,02,Igarra II,005,"UTUA I, GODSTIME NURSERY SCHOOL"
EDO,01,AKOKO-EDO,02,Igarra II,006,"UFA II, IRETOJI PRIMARY SCHOOL"
EDO,01,AKOKO-EDO,02,Igarra II,007,"UFA II, NR EDEKI'S HOUSE"
EDO,01,AKOKO-EDO,02,Igarra II,008,"UFA II, BY OVOKO'S HOUSE"
EDO,01,AKOKO-EDO,02,Igarra II,009,"UFA II, BY OMOLOJU'S COMP."
EDO,01,AKOKO-EDO,02,Igarra II,010,"UFA II, UFA HALL"
EDO,01,AKOKO-EDO,02,Igarra II,011,"UFA II, NR. ADAMAGBO'S HOUSE"
EDO,01,AKOKO-EDO,02,Igarra II,012,"UFA II, NR. ADAMS HS"
EDO,01,AKOKO-EDO,02,Igarra II,013,"UFA II, AKUKU P/S I"
EDO,01,AKOKO-EDO,02,Igarra II,014,"UFA II, AKUKU P/S II"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,001,"LAMPESE, LAMPESE MKT. SQ."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,002,"LAMPESE, UKILEKPE P.S."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,003,"LAMPESE, AFORO QRTS."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,004,"LAMPESE, AFORO QTRS"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,005,"LAMPESE, UKE P/S."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,006,"LAMPESE, BY OLORIEGBE COMP."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,007,"ELEKPI, BY CHIEF OKONDON"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,008,"IMOGA, UMAR P/S"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,009,"IMOGA, LEPPER SETTLEMENT"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,010,"IMOGA, IMOGA PRIMARY SCHOOL"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,011,"IMOGA, BY CHIEF OBANILU'S COMP."
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,012,"EKPE, KEKPUME P.S"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,013,"EKPE, BY DISPENSARY"
EDO,01,AKOKO-EDO,03,Imoga/ Lampese/ Bekuma/ Ekpe,014,"EKPE, AHOR P/S."
EDO,01,AKOKO-EDO,04,Ibillo/ Ekpesa/ Ekor/ Ikiran-Ile/ Oke,001,"IBILLO, OJAH P/S."
EDO,01,AKOKO-EDO,04,Ibillo/ Ekpesa/ Ekor/ Ikiran-Ile/ Oke,002,"IBILLO, IBILLO P/S."
EDO,01,AKOKO-EDO,04,Ibillo/ Ekpesa/ Ekor/ Ikiran-Ile/ Oke,003,"IBILLO, BY CHIEF OMOLOJU'S HS"
