state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,001,"IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST."
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,002,"A. U. D. PRY. SCH. / IRO ST., ODE ONA"
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,003,A. U. D. PRY. SCH. / ODO IMOBUN
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,004,"IN FRONT OF ADELUYI'S HOUSE / ARAROMI , ADELUYI'S , THADEUS COMPOUND"
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,005,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,006,ORI EKITI MARKET / ASA EJEMUA COMP.
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,007,"ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW"
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,008,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,009,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,010,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.
Ekiti,01,ADO-EKITI,01,Ado 'A' Idofin,011,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,001,"IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP."
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,002,IN FRONT OF CHIEF ELEMO'S COMP. / ODO INISA/EMINIO COMP.
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,003,"IN FRONT OF EJEMU'S COMP. / EJEMU, ARALOPON COMP."
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,004,"AT ODO ADO MARKET AREA / ODO ADO MARKET , IYERE"
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,005,IN FRONT OF ASAMO'S COMPOUND / ISAO ISAMO COMPOUND
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,006,"AROUND ORIMOLADE / EJEMU'S HOUSE, EJELU ILEGEMO COMP."
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,007,OPEN SPACE AT 23 IREMO STREET (IN FRONT OF AREMO’S PALACE/IREMO AREA)
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,008,AT ODO ADO GRAMMAR SCH. / ADO GRAMMAR SCH.
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,009,ST. PAULS ANG. PRY. SCH. / OWODE
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,010,"OLD YARWER COMP. / ADESOKAN , IGIRIGIRI RD."
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,011,AT THE BACK OF ODO ADO DISPENSARY / OLORUNSOGO AYINSOLA COMP.
Ekiti,01,ADO-EKITI,02,Ado 'B' Inisa,012,ST. PAULS ANG. PRY. SCH. / OWODE COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,001,IN FRONT OF OLOWOYO'S HOUSE / OLOWOYO COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,002,"ST. DAVID'S PRY SCH. OSUN / OKE IGBALA, OLUMAKINDE COMP."
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,003,AT ELERE COMP. / ELERE COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,004,"IN FRONT OF AIYINRINSIN COMP. / AIYIRINSIN, IMAYO COMP."
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,005,ST. GEOGE'S PRY. SCH. / OLOGUNSUNJA
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,006,ST. GEOGRE'S PRY. SCH. / ORODE
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,007,IN FRONT OF EDEMO'S COMP. / EDEMO EGUNLUSI COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,008,IN FRONT OF ELEWERE'S COMP. / ELEWERE OGUNREMI'S COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,009,IN FRONT OF ELEWERE'S COMP. / ELEWERE
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,010,ST. GEORGE'S PRY. SCH. / ALAKETU LAWANI COMP.
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,011,"ANGLICAN PRY. SCHOOL / IDEMO, ARAROMI"
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,012,"24, OWOLABI'S HOUSE / OWOLABI'S COMP."
Ekiti,01,ADO-EKITI,03,Ado 'C' Idolofin,013,IN FRONT OF MR. OGUNRINDE'S HOUSE / OLOKEMEJI'S COMP.
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,001,ST. MICHEAL PRY. SCH. BK. I / WATER WKS. AREA I
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,002,ST. MICHEAL PRY. SCH. BK.II / WATER WKS. AREA II
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,003,OPEN SPACE AT IMUGBAGBA MKT. / EGUNLUSI COMP.
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,004,IN FRONT OF OMESI MEDICINE STORE / OLOKUN COMP.
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,005,"IN FRONT OF SANSAYIN'S HOUSE / SANSAYIN, OMOGAME, BASORUN COMP."
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,006,"AT THE BACK OF HIGH LIFE HOTEL / EJEMU, ELOMOBA COMP."
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,007,"POLY BUS STOP , IJIGBO ROUND ABOUT / CHIEF EJIGBO COMPOUND BABATOLA"
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,008,ST. JAMES PRY. SCH. / EKUTE AREA
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,009,IN FRONT OF ADETADE HOSP. / OKE BOLA AREA
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,010,OPP. MARIA ASUMPTA HOSP. / UREJE AREA
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,011,"OWENA BUS- STOP , OPP. LITTLE BY LITTLE / OWENA BANK AREA"
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,012,A.U.D. PRY. SCH. BK. I / OLD BARRACKS AREA
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,013,A.U.D. PRY. SCH. BK. II / IBUKUN OLU AREA
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,014,"OKE ONIYO MARKET / OKE ONIYO, OKE ALAFIA AREA"
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,015,"ST. PAULS C.A.C. OPP. TOTAL / ST. PAULS C. A. C., AJILOSUN"
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,016,IN FRONT OF PA LAWAL'S HOUSE / OKE AGE ST.
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,017,IN FRONT OF ALAJA ADULOJU'S HOUSE / IBITOYE ADULOJU COMP.
Ekiti,01,ADO-EKITI,04,Ado 'D' Ijigbo,018,IN FRONT OF OLUROPORA'S HOUSE / OMOLAYO AREA
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,001,AT ODO OTU AREA / ODO OTU
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,002,NEAR SLAUGHTER SLAB / SLAUGHTER SLAB
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,003,OPEN SPACE AT IJOKA AREA BY ELEJOKA (IN FRONT OF ELEJOKA'S PALACE)
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,004,NEAR ODU'S COMP. HOUSE / ODU'S COMP. HOUSE I
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,005,NEAR ODU'S COMP. HOUSE / ODU'S COMP. HOUSE II
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,006,"FAJUYI GREAT HALL / IGBAMOTE, AAFIN AREA"
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,007,OPEN SPACE NEAR C.A.C CHURCH (C.A.C CHURCH)
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,008,IN FRONT OF AAFIN / OLD TOWN HALL AREA
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,009,NEAR NEW MOTOR PARK AREA
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,010,MARY IMMACULATE AREA / OREREOWU ST. AREA
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,011,IN FRONT OF ADESINA'S COMP. / AGBOWU
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,012,IN FRONT OF CHIEF ARIBI'S HOUSE / AGUMO AREA I
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,013,IN FRONT OF FALEYE'S HOUSE / AGUMO AREA II
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,014,IN FRONT OF EKI CINEMA / EKI CINEMA
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,015,IN FRONT OF RAWA COMP. / OLOGUNSIKIN
Ekiti,01,ADO-EKITI,05,Ado 'E' Ijoka,016,BESIDE TOKUNBO CLINIC / APEMPE
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,001,IN FRONT OF OWOLABI'S COMP. / OLUGBAYE'S COMP.
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,002,"BY LEFT SIDE OF MACHANICAL WORKSHOP, IGBALETERE/ADEJUGBE'S COMP."
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,003,IN FRONT OF PA ADESINA 'S COMP. / ADESINA'S COMP.
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,004,IN FRONT OF CHIEF ADELEYE'S HOUSE / OLURASA COMP.
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,005,IN FRONT OF ELEYINMI' S HOUSE ELEYINMI'S COMPOUND
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,006,IN FRONT OF CHIEF ADEPARUSI'S HOUSE / FEREBUTE
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,007,"L. A. PRY. SCH., OKEYINMI / OKEYINMI"
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,008,IN FRONT OF OLD COUNCIL / ODOGUN AREA
Ekiti,01,ADO-EKITI,06,Ado 'F' Okeyinmi,009,"A. U. D. PRY. SCH., OKEYINMI / ODOFIN'S COMP."
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,001,"IN FRONT OF LATE SARUMI'S HOUSE / ERIO, BALEMO AREA"
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,002,"FEDERAL HOUSING ESTATE, OKE ILA / FEDERAL HOUSING ESTATE"
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,003,IN FRONT OF ODURO'S COMP. / ODURO EDEMO COMP.
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,004,ST. ANDREW'S PRY SCH. / OLOWOPETU
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,005,ST. ANDEREW'S PRY. SCH. /BELLO BABA EGBE
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,006,IN FRONT OF PHILIP ESAN'S HOUSE / PHILIP ESAN
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,007,IN FRONT OF AKUNGBE PHILIPS / AKUNGBE OLORA COMP.
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,008,"MARY IMMACULATE PRY. SCH. / OGUNDIPE, OLORA, ELEMUKANSI"
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,009,"IN FRONT OF ASALE'S HOUSE / ALARARORI, ASALE, SALIU COMP."
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,010,IN FRONT OF CHIEF IKA'S HOUSE / IKA VILLAGE
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,011,OPEN SPACE AT OLUYEDE’S HOUSE (INFRONT OF OLU’S PALACE/IRASA VILLAGE)
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,012,IN FRONT OF CHIEF ILADO'S HOUSE / ILADO VILLAGE
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,013,IN FRONT OF ORETUYI'S HOUSE / ISO VILLAGE
Ekiti,01,ADO-EKITI,07,Ado 'G' Oke Ila,014,OPEN SPACE AT IKEREOKO / IKEREOKO
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,001,IN FRONT OF MAJOR ILUKUN'S HOUSE / ILUKUN COMP. AREA
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,002,IN FRONT OF ADERIYE'S HOUSE / ADELABU ADERIYE'S COMP.
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,003,IN FRONT OF FAMUJIMI'S HOUSE / FAMUJIMI OBATIMEHIN
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,004,IN FRONT OF FALEGAN'S HOUSE / FALEGAN AKINYEMI
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,005,"ELEYOWO MARKET / ODOBA, GIDADO"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,006,AT THE BACK OF JUBILEE HOTEL / ODUNDUN
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,007,"IN FRONT OF OLOGUNESE'S HOUSE /ELEYOWO, ORIMOLADE, OLOGUNESE"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,008,IN FRONT OF EJEMUA'S HOUSE / EJEMUA
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,009,"IN FRONT OF ADEYINKA'S HOUSE / ADEYINKA, JIMBA"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,010,"GRADE A COURT / ASAGIDIGBI, ADEBIYI, OGBON OBA, POST OFFICE"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,011,IN FRONT OF IBIKUNLE'S HOUSE / IBIKUNLE ABIODUN
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,012,BY THE LEFT SIDE OF OGUNLEYE'S HOUSE / OGUNLEYE
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,013,IN FRONT OF LAWAL'S HOUSE / OGBON ADO
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,014,"L. A. PRY. SCH. / AKOMOLEDE, EYEDOFIN, EYEBUSOLA"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,015,INFRONT OF FASULA'S HOUSE /FASULA
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,016,"AT THE BACK OF OMOSIO'S HOUSE / ALAFIA, EREGURU, OMOSIO"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,017,"IN FRONT OF AKINLUSI'S HOUSE / OJUMOSE, AKINLUSI"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,018,"AT THE BACK OF OKOLI'S HOUSE / OKE AGBE, OJUMOSE AREA"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,019,IN FRONT OF ELEGBIRA'S HOUSE / ELEGBIRA
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,020,"IN FRONT OF IGINLA'S HOUSE / IGINLA, ADEGBITE"
Ekiti,01,ADO-EKITI,08,Ado 'H' Ereguru,021,"L. A. PRY SCH. / EYEDOFIN, EYEBUSOLA"
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,001,"IN FRONT OF PA JEGEDE 'S HOUSE / JEGEDE, ADEHUN"
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,002,IN FRONT OF OMOLAYO'S HOUSE / OMOLAYO
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,003,IN FRONT OF ADEBAYO'S ESTATE / ADEBAYO ESTATE
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,004,"BETWEEN EYEJARI, MELODY'S HOUSE / PRINCE MELODY ST."
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,005,IN FRONT OF ALAWOROKO'S HOUSE / OLOJAESE COMP - BELLO
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,006,IN FRONT OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. I
Ekiti,01,ADO-EKITI,09,Ado 'I' Dallimore,007,AT THE BACK OF AJITADIDUN PRY. SCH. / CHIEF OLORA'S COMP. II
