state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
ENUGU,01,ANINRI,01,Oduma I,001,COMM. SCH. ODUMA ACHARA
ENUGU,01,ANINRI,01,Oduma I,002,AMAEZE ENUGU AGU VILLAGE SQUARE
ENUGU,01,ANINRI,01,Oduma I,003,OLOVOLO VILLAGE SQUARE
ENUGU,01,ANINRI,01,Oduma I,004,MMAFU COMM. SCHOOL
ENUGU,01,ANINRI,01,Oduma I,005,OBODO UKWU VILLAGE SQUARE
ENUGU,01,ANINRI,01,Oduma I,006,COMMUNITY SCHOOL UKETE
ENUGU,01,ANINRI,01,Oduma I,007,AMANKANU VILLAGE SQUARE
ENUGU,01,ANINRI,01,Oduma I,008,COMM. PRIMARY SCHOOL AMORJI ANI
ENUGU,01,ANINRI,01,Oduma I,009,AMORJI ENU VILLAGE SQUARE
ENUGU,01,ANINRI,01,Oduma I,010,COMM. SCH. ODUMA ACHALA
ENUGU,01,ANINRI,01,Oduma I,011,OLOVOLO VILLAGE SQUARE
ENUGU,01,ANINRI,02,Oduma II,001,COMM. SCHOOL OBEAGU ODUMA
ENUGU,01,ANINRI,02,Oduma II,002,"LIBERTY SCHOOL, OBEAGU ODUMA"
ENUGU,01,ANINRI,02,Oduma II,003,UHUANWUNTA VILLAGE SQUARE
ENUGU,01,ANINRI,02,Oduma II,004,OBODO OKPOKO VILLAGE SQUARE
ENUGU,01,ANINRI,02,Oduma II,005,"OBODO OGBUNTA VILLAGE SQUARE,"
ENUGU,01,ANINRI,02,Oduma II,006,"OBODO AKPAM SQUARE, UHUAGU"
ENUGU,01,ANINRI,02,Oduma II,007,AMOKWE COMM. SCHO. UHUEGBOKE
ENUGU,01,ANINRI,02,Oduma II,008,COMM. SCHOOL UHUAGU AMOKWE
ENUGU,01,ANINRI,02,Oduma II,009,COMM. SCH. UHUAGU
ENUGU,01,ANINRI,02,Oduma II,010,EKE AMEKE SQUARE
ENUGU,01,ANINRI,02,Oduma II,011,CENTRAL SCHOOL ODUMA I
ENUGU,01,ANINRI,02,Oduma II,012,NWAFOR UDENE VILL. SQR
ENUGU,01,ANINRI,02,Oduma II,013,CENTRAL SCH. ODUMA II
ENUGU,01,ANINRI,03,Oduma III,001,AMACHARAUKA VILLAGE SQUARE
ENUGU,01,ANINRI,03,Oduma III,002,AMOHITE VILLAGE SQUARE
ENUGU,01,ANINRI,03,Oduma III,003,NANWU VILLAGE SQUARE
