state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
IMO,01,ABOH-MBAISE,01,Enyiogugu,001,ALADINMA UMUELEM HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,002,OKWUAKU HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,003,UMUNKWO VILLAGE HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,004,IBEKU HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,005,COMMUNITY SCHOOL EZIALA
IMO,01,ABOH-MBAISE,01,Enyiogugu,006,EZIALA HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,007,COMMUNITY SCHOOL UMUGARAGU
IMO,01,ABOH-MBAISE,01,Enyiogugu,008,UMUAFOR VILLAGE HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,009,UMUEZIUKWU VILLAGE HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,010,ORIE UMUEZE HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,011,COMMUNITY SCHOOL OBOAMA
IMO,01,ABOH-MBAISE,01,Enyiogugu,012,AMA-IYALA HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,013,VILLAGE SQUARE (OPP. BLOCK ROSARY HALL)
IMO,01,ABOH-MBAISE,01,Enyiogugu,014,ANOKAM HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,015,COMMUNITY SCHOOL EGBELU
IMO,01,ABOH-MBAISE,01,Enyiogugu,016,UMUOYE HALL
IMO,01,ABOH-MBAISE,01,Enyiogugu,017,CENTRAL SCHOOL EGBELU UMUHU
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,001,COMMUNITY SCHOOL UMUEZII I
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,002,COMMUNITY SCHOOL UMUEZII II
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,003,COMMUNITY SCHOOL OBIBI I
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,004,COMMUNITY SCHOOL OBIBI II
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,005,TOWN SCHOOL UMUANUMA I
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,006,TOWN SCHOO UMUANUMA II
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,007,CENTRAL SCHOOL NGURU
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,008,COMMUNITY SCHOOL EZIALA NA UMUODA I
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,009,COMMUNITY SCHOOL EZIALA NA UMUODA II
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,010,COMMUNITY SCHOOL UMUANUMA
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,011,COMMUNITY SCHOOL EZIALA
IMO,01,ABOH-MBAISE,02,Nguru-Ahiato,012,COMMUNITY SCHOOL NGURU
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,001,UMUOMA-UMUALAEKE HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,002,UMUCHIEZE HALL I
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,003,UMUCHIEZE HALL II
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,004,UMUBOCHI HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,005,COMMUNITY SCHOOL UMUOPARA
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,006,ONUGOTU HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,007,OBOKWE HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,008,UMUDIAWA HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,009,OKPURUAWA HALL
IMO,01,ABOH-MBAISE,03,Nguru-Nwenkwo,010,UMULOLO VILLAGE SQUARE
