state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
JIGAWA,01,AUYO,01,Auyo,001,AUYO SPECIAL PRI. SCH. AUYO KUKA
JIGAWA,01,AUYO,01,Auyo,002,AUYO VETNARY - VETNARY
JIGAWA,01,AUYO,01,Auyo,003,WOMEN CENTRE AUYO OPEN SPACE (AUYO BAYI)
JIGAWA,01,AUYO,01,Auyo,004,OLD INEC OFFICE AUYO (KOFAR AMADU AUYO KIRA)
JIGAWA,01,AUYO,01,Auyo,005,AUYO GABAS PRI. SCH. AUYO GABAS
JIGAWA,01,AUYO,01,Auyo,006,"AUYO DISPENSARY, AUYO DISPENSARY"
JIGAWA,01,AUYO,01,Auyo,007,"VILLAGE SQUARE BY HAND PUMP JAMA'AR ALKALI OPENSPACE (JAMAAR AIKALI MAIBAURE, MAI BAURE)"
JIGAWA,01,AUYO,01,Auyo,008,"VILLAGE SQUARE BY HAND PUMP CENTRAL KAZIYETA OPEN SPACE (KAZIYETA K. FADA, KAZIYETA)"
JIGAWA,01,AUYO,01,Auyo,009,"VILLAGE SQUARE BY HAND PUMP CENTRAL TSURUTAWA OPEN SPACE (TSURUTAWA, TSURUTAWA)"
JIGAWA,01,AUYO,01,Auyo,010,HADIYO PRI. SCH HADIYO
JIGAWA,01,AUYO,01,Auyo,011,MAKERAYI VILLAGE
JIGAWA,01,AUYO,01,Auyo,012,"GIDAN DALLAH PRI. SCH., GIDAN DALLAH"
JIGAWA,01,AUYO,01,Auyo,013,ZABARO PRI. SCH. ZABARO
JIGAWA,01,AUYO,02,Auyakayi,001,"AUYAKAYI PRI. SCH, AUYAKAYI"
JIGAWA,01,AUYO,02,Auyakayi,002,KUDIGIN PRI. SCH. KUDIGIN
JIGAWA,01,AUYO,02,Auyakayi,003,"AKUBUSHIN PRI. SCH., AKUBISHIN"
JIGAWA,01,AUYO,02,Auyakayi,004,"VILLAGE SQUARE BY HAND PUMP OF NORTHERNRIGAR MA'AJI OPEN SPACE (RIGAR MAAJI K.FADA, RIGAR NA'AJI)"
JIGAWA,01,AUYO,02,Auyakayi,005,"SHAWARA PRI. SCH, SHAWARA"
JIGAWA,01,AUYO,02,Auyakayi,006,"CHIROMAWA PRI. SCH., CHIROMAWA"
JIGAWA,01,AUYO,02,Auyakayi,007,"VILLAGE SQUARE BY HAND PUMP OF WESTERN KARSHA DUNKUN OPEN SPACE (KARSHA DUNKUN K.FADA, KARSHA DUNKUN)"
JIGAWA,01,AUYO,02,Auyakayi,008,"VILLAGE SQUARE NEAR A TREE NEAR INUSA'S HOUSEOPEN SPACE (MATAKUWA K. FADA, AYATAKUWA)"
JIGAWA,01,AUYO,02,Auyakayi,009,"VILLAGE SQUARE BY HAND PUMP OF SOUTHERN MAKERAWA OPEN SPACE (MARAKAWA FADA, MARAKAWA VILLAGE)"
JIGAWA,01,AUYO,03,Ayama,001,AYAMA PRI. SCH. AYAMA I
JIGAWA,01,AUYO,03,Ayama,002,AYAMA PRI. SCH. AYAMA II
JIGAWA,01,AUYO,03,Ayama,003,VILLAGE SQUARE BY HAND PUMP OF EASTERN ANAUYA OPEN SPACE (ANAUYA K. FADA ANUAYA)
JIGAWA,01,AUYO,03,Ayama,004,"KIGIN PRI. SCH., KIGIN"
JIGAWA,01,AUYO,03,Ayama,005,UZA PRI. SCH. UZA
JIGAWA,01,AUYO,03,Ayama,006,SAFA PRI. SCH. SAFA BABBA
JIGAWA,01,AUYO,03,Ayama,007,"SAFA PRY SCH, SAFA KARFI"
JIGAWA,01,AUYO,03,Ayama,008,SHAMARMA PRI. SCH. SHAMARMA
JIGAWA,01,AUYO,03,Ayama,009,VILLAGE SQUARE BY HAND PUMP OF NORTHERNGIDAN BAKWARE OPEN SPACE (GIDAN BAKWARE K. FADA GIDAN BAKWARE)
JIGAWA,01,AUYO,03,Ayama,010,VILLAGE SQUARE BY HAND PUMP OF SOUTHERN ASUDUWA OPEN SPACE (ASUDUWA K. FADA ASUDUWA)
JIGAWA,01,AUYO,03,Ayama,011,VILLAGE SQUARE BY SOLAR PUMP MAGARYA OPEN SPACE (MAGARYA K. FADA MAGARYA)
JIGAWA,01,AUYO,03,Ayama,012,"VILLAGE SQUARE BY HAND PUMP OF NORTHERN DOGAWA OPEN SPACE (DOGARA VILLAGE, DOGARA)"
JIGAWA,01,AUYO,04,Ayan,001,AYAN PRI. SCH AYAN
JIGAWA,01,AUYO,04,Ayan,002,"VILLAGE SQUARE BY HAND PUMP OF WESTERNGASTIFI OPEN SPACE (GASTIFI K. FADA , GASTIFI VILLAGE)"
JIGAWA,01,AUYO,04,Ayan,003,VILLAGE SQUARE BY HAND PUMP OF WESTERN DAWAYA/MAINARI OPEN SPACE (DAWAYA K. FADA DAWAYA/MAINARI)
JIGAWA,01,AUYO,04,Ayan,004,VILLAGE SQUARE BY HAND PUMP OF WESTERN ATIRAOPEN SPACE (ATURA K. FADA ATURA JAMAAR AYAN)
JIGAWA,01,AUYO,04,Ayan,005,KATAUDI PRI. SCH. KATAUDI 'A'
JIGAWA,01,AUYO,04,Ayan,006,VILLAGE SQUARE BY HAND PUMP OF CENTRAL AYAMAS KUKA OPEN SPACE (AYAMASKUKA K. FADA AYAMASKUKA)
JIGAWA,01,AUYO,04,Ayan,007,MAJE PRI. SCH. MAJE HAUSAWA/FUL
JIGAWA,01,AUYO,04,Ayan,008,"VILLAGE SQUARE, BY HAND PUMP OF NORTHERN ATAKAJIYA OPEN SPACE (ATAKAJIYA K. FADA ATAKAJIYA)"
JIGAWA,01,AUYO,04,Ayan,009,VILLAGE SQUARE BY HAND PUMP OF NORTHERNJAMA'AR GABAS OPEN SPACE (JAMAAR GABAS K. FADA JAMAAR GABAS)
JIGAWA,01,AUYO,04,Ayan,010,"KATAUDI PRY SCH, KATAUDI 'B'"
JIGAWA,01,AUYO,05,Gamafoi,001,GAMAFOI PRI. SCH GAMAFOI KWAZIMO
JIGAWA,01,AUYO,05,Gamafoi,002,VILLAGE SQUARE BY HAND PUMP OF WESTERN AGAMO OPEN SPACE (AGAMO K. FADA AGAMO)
JIGAWA,01,AUYO,05,Gamafoi,003,LEA PRIMARY SCHOOL JURA (JURA K. FADA JURA)
JIGAWA,01,AUYO,05,Gamafoi,004,VILLAGE SQUARE BY HAND PUMP OF CENTRAL BIRITAN OPEN SPACE (BIRITAN K. FADA BIRITAN)
JIGAWA,01,AUYO,05,Gamafoi,005,VILLAGE SQUARE BY HAND PUMP OF CENTRAL GANDUN KADIR OPEN SPACE (GANDUN KADIR K. FADA GANDUN KADIR)
JIGAWA,01,AUYO,05,Gamafoi,006,VILLAGE SQUARE BY HAND PUMP OF CENTRAL KATAIJE OPEN SPACE (KATAIJE K. FADA KATAIJE)
JIGAWA,01,AUYO,05,Gamafoi,007,LEA ISLAMIYYA PRIMARY SCHOOL (GIDAN MAITANDU K. FADA)
JIGAWA,01,AUYO,05,Gamafoi,008,GASANYA PRI. SCH. GASANYA
JIGAWA,01,AUYO,05,Gamafoi,009,"VILLAGE SQUARE BY HAND PUMP OF CENTRAL KWAZIMO OPEN SPACE (KWAZIMO, KWAZIMO VILLAGE)"
JIGAWA,01,AUYO,06,Gamsarka,001,GAMSARKA PRI. SCH GAMSARKA TAGIR
JIGAWA,01,AUYO,06,Gamsarka,002,GAMSARKA PRI. SCH. GAMSARKA ZUMONI
JIGAWA,01,AUYO,06,Gamsarka,003,HAKUDAU PRI. SCH. HAKUDAU
JIGAWA,01,AUYO,06,Gamsarka,004,KALGWAI PRI. SCH. KALGWAI A.
JIGAWA,01,AUYO,06,Gamsarka,005,KAFARDAU PRI. SCH. KAFARDAU
JIGAWA,01,AUYO,06,Gamsarka,006,GURAJAWA PRI. SCH. GURAJAWA
JIGAWA,01,AUYO,06,Gamsarka,007,ADAHA PRI. SCH. ADAHA
JIGAWA,01,AUYO,06,Gamsarka,008,MADO PRI. SCH. MADO I
JIGAWA,01,AUYO,06,Gamsarka,009,MADO PRI. SCH. MADO II
JIGAWA,01,AUYO,06,Gamsarka,010,VILLAGE SQUARE BY HAND PUMP OF NORTHERN AGAKO OPEN SPACE (ARAKO K. FADA ARAKO)
JIGAWA,01,AUYO,06,Gamsarka,011,LEA NOMADIC PRIMARY SCHOOL MARINA (MARINA K. FADA MARINA)
JIGAWA,01,AUYO,06,Gamsarka,012,KALGWAI B. KALGWAI PRY SCH
JIGAWA,01,AUYO,07,Gatafa,001,GATAFA PRI. SCH. GATFA YALWA 'A'
JIGAWA,01,AUYO,07,Gatafa,002,GATAFA PRI. SCH. GATAF MADAKI
JIGAWA,01,AUYO,07,Gatafa,003,GATAFA DISPENSARY GATAFA
JIGAWA,01,AUYO,07,Gatafa,004,LEA PRIMARY SCHOOL ARIGINA (TSAKA K. FADA TSAKA)
JIGAWA,01,AUYO,07,Gatafa,005,ARGINA PRI. SCH. ARGINA MAJIYA
JIGAWA,01,AUYO,07,Gatafa,006,"VILLAGE SQUARE BY HAND PUMP GATAFA YALWA OPEN SPACE (GATAFA YELWA 'B', GATAFA VILLAGE)"
JIGAWA,01,AUYO,08,Kafur,001,KAFUR PRI. SCH KAFUR
JIGAWA,01,AUYO,08,Kafur,002,"VILLAGE SQUARE BY HAND PUMP OF CENTRAL MAWAOPEN SPACE (MAWA K. FADA, MAWA VILLAGE)"
JIGAWA,01,AUYO,08,Kafur,003,VILLAGE SQUARE BY HAND PUMP OF WESTERN ARAWA OPEN SPACE (ARAWA K. FADA ARAWA)
JIGAWA,01,AUYO,08,Kafur,004,LEA PRIMARY SCHOOL (GATAKASHE K. FADA GATAKASHE WAILARE)
JIGAWA,01,AUYO,08,Kafur,005,VILLAGE SQUARE BY HAND PUMP OF CENTRAL JIBAGANDU OPEN SPACE (JIBA GANDU K. FADA JIBA GANDU)
JIGAWA,01,AUYO,08,Kafur,006,VILLAGE SQUARE BY HAND PUMP OF CENTRAL MASKANGAYU OPEN SPACE (MASKANGAYU K. FADA MASKANGAYU)
JIGAWA,01,AUYO,08,Kafur,007,"VILLAGE SQUARE BY HAND PUMP SABON GIDAN AUAMDUWA OPEN SPACE (SABON GIDAN AYANDUWA K. FADA, SABON GIDAN AYANDUWA)"
JIGAWA,01,AUYO,08,Kafur,008,"GANUWAR KUKA PRI. SCH., GANUWAR KUKA"
