state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,001,EDUCATION OFFICE
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,002,PRY. SCH. SHITU
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,003,AREA COURT
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,004,COMMUNITY SCHOOL
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,005,ISLAMIYA PRY. SCH.
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,006,MAIGWARI PRY. SCH.
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,007,LIBRARY OFFICE
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,008,PRY.SCH.UNG.LIMAN
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,009,UBE PRI. SCH UNG. ALI GADO/S/GARI (UNG. ALI GADO)
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,010,LEPROSY CLINIC
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,011,G.S.S. B/GWARI
KADUNA,01,BIRNIN GWARI,01,Magajin Gari I,012,B.A.T.C. B/GWARI
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,001,SPORT COUNCIL OFFICE
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,002,S/YAKI PRY. SCH.
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,003,R.E.B. POWER HOUSE I
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,004,R.E.B. POWER HOUSE II
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,005,BAGOMA PRY. SCH.
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,006,V.I.O. OFFICE BAGOMA
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,007,DOGON HAWA PRY. SCH.
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,008,UNG. FARI PRY. SCH
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,009,LEA PRI. SCH. UNG. KUMBI (UNG. KWAMBE)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,010,BUGAI PRY. SCH.
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,011,LEA LAYA PRI. SCH. UNG. LAYA (UNG. LAYA)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,012,LEA PRI. SCH. UNG. DOGARA (UNG. DOGARA)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,013,UBE PRI SCH. UNG. ZAMAN DAGI (UNG. ZAMAN DAGI)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,014,LEA PRI. SCH. AWARO (AWARO)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,015,TV CENTRE
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,016,TV CENTRE II
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,017,V.I.O. OFFICE
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,018,LEA PRI. SCH. UNG. DAN YAYA (UNG. DAN YAYA)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,019,HABIBU ARABIC ISLAMIYA KM HABIBU (KM. HABIBU ARABIC SP.)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,020,LEA PRI. SCH. KM. IJINGA (K/MAI UNGUWA IJINGA)
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,021,TUDUN JEGA PRY. SCH.
KADUNA,01,BIRNIN GWARI,02,Magajin Gari II,022,LEA PRI. SCH. UNG. GOBIRAWA (UNG. GOBIRAWA)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,001,OLD B/GWARI PRY. SCH.
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,002,OLD SAULAWA PRY. SCH.
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,003,NEW SAULAWA
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,004,LEA PRI. SCH. UNG. NACHIBI I (UNG. NACHIBI)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,005,LEA PRI. SCH. UNG. NACHIBI II (UNG. NACHIBI)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,006,UNG. GOBIRAWA
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,007,MAGANDA PRY. SCH
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,008,K.M. MAGANDA PRY. SCH.
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,009,UNG.GORON DUTSE
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,010,GWASKA PRY. SCH.
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,011,LEA PRI. SCH. U/BAKANIKE (UNG. BAKANIKE)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,012,LEA PRI. SCH. U/NABANGO/GWASKA (UNG. NABANGO)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,013,LEA PRI. SCH K/MAGAJI (KWAIGAN MAGAJI)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,014,LEA PRI. SCH KIRYAYI (KIRYAYI)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,015,LEA PRI SCH FARIN RUWA (FARIN RUWA)
KADUNA,01,BIRNIN GWARI,03,Magajin Gari III,016,LEA PRI. SCH TASHAN LEDA (TASHAN LEDA)
KADUNA,01,BIRNIN GWARI,04,Gayam,001,GAYAM PRY. SCH.
KADUNA,01,BIRNIN GWARI,04,Gayam,002,HEALTH CLINIC GAYAM
KADUNA,01,BIRNIN GWARI,04,Gayam,003,KWAGA PRY. SCH
KADUNA,01,BIRNIN GWARI,04,Gayam,004,KWAGA CLINIC
KADUNA,01,BIRNIN GWARI,04,Gayam,005,POLE WAYA
KADUNA,01,BIRNIN GWARI,04,Gayam,006,KAGI PRY. SCH.
KADUNA,01,BIRNIN GWARI,04,Gayam,007,LEA PRI. SCH. LABI (LABI)
KADUNA,01,BIRNIN GWARI,04,Gayam,008,LGEA PRI. SCH. KM. U/KAGURU (KOFAR GIDAN M/UNG.)
KADUNA,01,BIRNIN GWARI,04,Gayam,009,RUMANA PRY. SCH
KADUNA,01,BIRNIN GWARI,04,Gayam,010,RUMANA GWARI
KADUNA,01,BIRNIN GWARI,04,Gayam,011,KIRAZO PRY. SCH.
