state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
KATSINA,01,BAKORI,01,Bakori A,001,BAKORI GARI 1 - NADABO PRI.SCH.
KATSINA,01,BAKORI,01,Bakori A,002,BAKORI GARI II -NADABO PRI. SCH.
KATSINA,01,BAKORI,01,Bakori A,003,BAKORI III - K/G TALBAN BAKORI
KATSINA,01,BAKORI,01,Bakori A,004,BAKORI GARI IV - MASALLACIN IZALA
KATSINA,01,BAKORI,01,Bakori A,005,UNG TOFA I - K/G SARKIN FAWA
KATSINA,01,BAKORI,01,Bakori A,006,UNG TOFA II K/G. MALAM BALA
KATSINA,01,BAKORI,01,Bakori A,007,UNG TOFA III - K/G MAI FULANI
KATSINA,01,BAKORI,01,Bakori A,008,UNG TOFA IV - OLD MARKET
KATSINA,01,BAKORI,01,Bakori A,009,BURI NADABO - K/G. MAL. YAHUZA
KATSINA,01,BAKORI,01,Bakori A,010,RAFIN SARKIN ZANGO I - DUTSEN ZANZARYA
KATSINA,01,BAKORI,01,Bakori A,011,RAFIN SARKIN ZANGO II K/G ALH.LAWAL RUMAWA
KATSINA,01,BAKORI,01,Bakori A,012,TASHAR GUGA 1 - L.E.A T/GUGA
KATSINA,01,BAKORI,01,Bakori A,013,TASHAR GUGA II L.E.A.T/GUGA
KATSINA,01,BAKORI,01,Bakori A,014,TASHAR GUGA III MARABAR DANJA K/G MAKAMA
KATSINA,01,BAKORI,02,Bakori B,001,ZAGE-ZAGI -PRI.SCH. ZAGE-ZAGI
KATSINA,01,BAKORI,02,Bakori B,002,ZAGE-ZAGI - VETINERY
KATSINA,01,BAKORI,02,Bakori B,003,BAKORI GARI 1 - DISPENSARY
KATSINA,01,BAKORI,02,Bakori B,004,BAKORI GARI II - NEAR DISTRICT H.OFFICE
KATSINA,01,BAKORI,02,Bakori B,005,BAKORI GARI III - RAMALAN PRI SCH.
KATSINA,01,BAKORI,02,Bakori B,006,BAKORI GARI III - F.S.A. CLINIC
KATSINA,01,BAKORI,02,Bakori B,007,UNG. YARO - K/G MAI UNG.
KATSINA,01,BAKORI,02,Bakori B,008,YANLAMBU DANDALI
KATSINA,01,BAKORI,02,Bakori B,009,ADAKO - K/G MAI UNG
KATSINA,01,BAKORI,02,Bakori B,010,UNG. SANYI I - K/G MAI UNG
KATSINA,01,BAKORI,02,Bakori B,011,UNG SANYI II - OPPOSITE MOTOR PARK
KATSINA,01,BAKORI,02,Bakori B,012,ABARSHI - ABARSHI
KATSINA,01,BAKORI,02,Bakori B,013,DANFULANI - DANFULANI K/G MAI.UNG
KATSINA,01,BAKORI,02,Bakori B,014,UNG. SAMBO I - K/G MAI UNG
KATSINA,01,BAKORI,02,Bakori B,015,UNG. SAMBO II - K/G MAI UNG AND YARA AREA
KATSINA,01,BAKORI,03,Kurami/Yankwani,001,KURAMI - PRI SCH.
KATSINA,01,BAKORI,03,Kurami/Yankwani,002,KURAMI GARI - T.V. CENTRE
KATSINA,01,BAKORI,03,Kurami/Yankwani,003,NABUKKA 1- PRI SCH.
