state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,001,BAREBARI
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,002,FILIN ANGO
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,003,FILIN JANGI
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,004,KAURAR DUTSE I
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,005,LEMI
KEBBI,01,ALEIRO,01,Aliero Dangaladima I,006,KAURAR DUTSE II
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,001,GUMBIN DARI
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,002,GANDA SAMU
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,003,GOMUZON ALIERAWA
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,004,KALI
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,005,SADAM MAIJEGA
KEBBI,01,ALEIRO,02,Aliero Dangaladima II,006,SADAM SANDA
KEBBI,01,ALEIRO,03,Aliero S/Fada I,001,FILIN BAI
KEBBI,01,ALEIRO,03,Aliero S/Fada I,002,MARINA I
KEBBI,01,ALEIRO,03,Aliero S/Fada I,003,MARINA II
KEBBI,01,ALEIRO,03,Aliero S/Fada I,004,SHAYA
KEBBI,01,ALEIRO,03,Aliero S/Fada I,005,SABON GARI
KEBBI,01,ALEIRO,03,Aliero S/Fada I,006,TUDUN WADA
KEBBI,01,ALEIRO,04,Aliero S/Fada II,001,DORANAI
KEBBI,01,ALEIRO,04,Aliero S/Fada II,002,GUMBULU
KEBBI,01,ALEIRO,04,Aliero S/Fada II,003,GUMBIN DARI
KEBBI,01,ALEIRO,04,Aliero S/Fada II,004,GANGIJE
KEBBI,01,ALEIRO,04,Aliero S/Fada II,005,KAURAR SAINI I
KEBBI,01,ALEIRO,04,Aliero S/Fada II,006,KAURAR SAINI II
KEBBI,01,ALEIRO,04,Aliero S/Fada II,007,RUNTUWA
KEBBI,01,ALEIRO,05,Danwarai,001,FADA
KEBBI,01,ALEIRO,05,Danwarai,002,GEBE
KEBBI,01,ALEIRO,05,Danwarai,003,HERE
KEBBI,01,ALEIRO,05,Danwarai,004,LUNGUN KAURA
KEBBI,01,ALEIRO,05,Danwarai,005,RUGGA
KEBBI,01,ALEIRO,06,Jiga Birni,001,FILIN YAMMA
KEBBI,01,ALEIRO,06,Jiga Birni,002,GANGIJE
KEBBI,01,ALEIRO,06,Jiga Birni,003,KASUWA
KEBBI,01,ALEIRO,06,Jiga Birni,004,MAGORAWA
KEBBI,01,ALEIRO,06,Jiga Birni,005,RUGGAR YAMMA
KEBBI,01,ALEIRO,07,Jiga Makera,001,JIGAR KAMBARORI
KEBBI,01,ALEIRO,07,Jiga Makera,002,JIGAR MAKERA
KEBBI,01,ALEIRO,07,Jiga Makera,003,JIGAR SALAU
KEBBI,01,ALEIRO,07,Jiga Makera,004,RUGGA
KEBBI,01,ALEIRO,07,Jiga Makera,005,YAR GUSAU
KEBBI,01,ALEIRO,08,Kashin Zama,001,ADARAWA I
KEBBI,01,ALEIRO,08,Kashin Zama,002,ADARAWA II
KEBBI,01,ALEIRO,08,Kashin Zama,003,FADA I
KEBBI,01,ALEIRO,08,Kashin Zama,004,FADA II
KEBBI,01,ALEIRO,08,Kashin Zama,005,FADA III
KEBBI,01,ALEIRO,08,Kashin Zama,006,KAURA FILI
KEBBI,01,ALEIRO,08,Kashin Zama,007,RINI
KEBBI,01,ALEIRO,09,Rafin Bauna,001,RAFIN MUDI
KEBBI,01,ALEIRO,09,Rafin Bauna,002,UNGUWAR ALU D/FILI
KEBBI,01,ALEIRO,09,Rafin Bauna,003,UNGUWAR AMADU
KEBBI,01,ALEIRO,09,Rafin Bauna,004,UNGUWAR BASHARU
KEBBI,01,ALEIRO,09,Rafin Bauna,005,UNGUWAR GALADIMA
KEBBI,01,ALEIRO,09,Rafin Bauna,006,UNGUWAR LAWAL D/FILI
KEBBI,01,ALEIRO,10,Sabiyal,001,DAKALA
KEBBI,01,ALEIRO,10,Sabiyal,002,KWAMBALI
KEBBI,01,ALEIRO,10,Sabiyal,003,DANFILI
KEBBI,01,ALEIRO,10,Sabiyal,004,KYATAKU
KEBBI,01,ALEIRO,10,Sabiyal,005,LUNGUN BULA I
KEBBI,01,ALEIRO,10,Sabiyal,006,MARMARO
KEBBI,02,AREWA,01,Biu,001,ASAKARA
KEBBI,02,AREWA,01,Biu,002,BIU SABON ZAMA
KEBBI,02,AREWA,01,Biu,003,BIU S/GARI
KEBBI,02,AREWA,01,Biu,004,TUNGAR LABBO
KEBBI,02,AREWA,01,Biu,005,BAGGA
KEBBI,02,AREWA,01,Biu,006,D/GONGORA
KEBBI,02,AREWA,01,Biu,007,GALEWA TINTIMI
KEBBI,02,AREWA,01,Biu,008,GIGANE
KEBBI,02,AREWA,01,Biu,009,HAKIMAWA
KEBBI,02,AREWA,01,Biu,010,KWAKWARE
KEBBI,02,AREWA,01,Biu,011,KURFAYAWA
KEBBI,02,AREWA,01,Biu,012,MAMUNU BABARI
KEBBI,02,AREWA,01,Biu,013,MAKANGARA
KEBBI,02,AREWA,01,Biu,014,MAJE KUKA
KEBBI,02,AREWA,01,Biu,015,TASHAR ISAKA
KEBBI,02,AREWA,01,Biu,016,TAGO
KEBBI,02,AREWA,01,Biu,017,TAMBO BOKA
KEBBI,02,AREWA,01,Biu,018,U/TSOHO
KEBBI,02,AREWA,01,Biu,019,ILLELAR TAGO
KEBBI,02,AREWA,02,Chibike,001,CHIBIKE
KEBBI,02,AREWA,02,Chibike,002,CHIBIKE ILLELA
KEBBI,02,AREWA,02,Chibike,003,DOGON DAJI
KEBBI,02,AREWA,02,Chibike,004,FAWANGU
KEBBI,02,AREWA,02,Chibike,005,FARSANGU
KEBBI,02,AREWA,02,Chibike,006,MARAKE
KEBBI,02,AREWA,02,Chibike,007,RAMBA MAMMAN
KEBBI,02,AREWA,02,Chibike,008,TURMIN DUTSI
KEBBI,02,AREWA,02,Chibike,009,U/MUZA
KEBBI,02,AREWA,02,Chibike,010,U/ZARMAKWAI
KEBBI,02,AREWA,02,Chibike,011,ERI
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,001,BACHAKA I
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,002,BOTAWA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,003,BACHAKA II
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,004,BINGEL
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,005,DUKKI SAKWABE
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,006,GAMUZZAH
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,007,GWARMAI
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,008,JAJA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,009,KWAKWARE G.
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,010,MAFASKARA B.
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,011,JARKUKA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,012,SAKWABE
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,013,S/GARIN DAURA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,014,TULLUWA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,015,TSAMIYAR JARKUKA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,016,TSAMIYAR JARKUKA B.
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,017,TUNGAR SARKI
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,018,ZAMANI
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,019,DOGON DAJI
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,020,TUNGAR TURBA
KEBBI,02,AREWA,03,Daura/Sakkwabe/Jarkuka,021,DANYEKU
KEBBI,02,AREWA,04,Gorun Dikko,001,G/DIKKO
KEBBI,02,AREWA,04,Gorun Dikko,002,GUBAWA
KEBBI,02,AREWA,04,Gorun Dikko,003,LANDARI
KEBBI,02,AREWA,04,Gorun Dikko,004,U/MAURI
KEBBI,02,AREWA,04,Gorun Dikko,005,U/MAIGIDA
KEBBI,02,AREWA,04,Gorun Dikko,006,ZAMANA
KEBBI,02,AREWA,05,Falde,001,DALIJAN
KEBBI,02,AREWA,05,Falde,002,FALDE A.
KEBBI,02,AREWA,05,Falde,003,FALDE B
KEBBI,02,AREWA,05,Falde,004,GIDDARE
KEBBI,02,AREWA,05,Falde,005,GORUN GORA
KEBBI,02,AREWA,05,Falde,006,SHALWAI
KEBBI,02,AREWA,06,Feske/Jaffeji,001,ALJANAR BAIDU
KEBBI,02,AREWA,06,Feske/Jaffeji,002,FESKE BABBA
KEBBI,02,AREWA,06,Feske/Jaffeji,003,GUMUNDE II
KEBBI,02,AREWA,06,Feske/Jaffeji,004,GANZA
KEBBI,02,AREWA,06,Feske/Jaffeji,005,JAFFEJI
KEBBI,02,AREWA,06,Feske/Jaffeji,006,FESKE TUDU A.
KEBBI,02,AREWA,06,Feske/Jaffeji,007,FESKE TUDU B.
KEBBI,02,AREWA,06,Feske/Jaffeji,008,YAGWANDI
KEBBI,02,AREWA,06,Feske/Jaffeji,009,MATSERI
KEBBI,02,AREWA,06,Feske/Jaffeji,010,KURI BABBA
KEBBI,02,AREWA,06,Feske/Jaffeji,011,AMAGORO
KEBBI,02,AREWA,07,Gumumdai/Rafin Tsaka,001,ADAKAKA
