state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,001,NEAR OPOTUS COMPOUND I
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,002,NEAR OPOTUS COMPOUND II
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,003,OPPOSITE OHUMAHI PALACE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,004,NEAR ALABI'S HOUSE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,005,LGEA SCHOOL OZURI I
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,006,LGEA SCHOOL OZURI II
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,007,NEAR OZURI MOSQUE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,008,OPPOSITE AJOUE'S HOUSE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,009,OPPOSITE SANNI AJOUE'S HOUSE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,010,FRONT OF VICTORY PRINTING OKUNCHI I
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,011,FRONT OF VICTORY PRINTING OKUNCHI II
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,012,LGEA SCHOOL OKUNCHI I
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,013,LGEA SCHOOL OKUNCHI II
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,014,LGEA SCHOOL OKUNCHI III
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,015,LGEA SCHOOL OKUNCHI
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,016,GDSS OKUNCHI
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,017,ANYOKE-EBA
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,018,NEAR ATTO'S COMPOUND
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,019,NEAR DANSULE'S COMPOUND
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,020,OPEN SPACE NEAR DANSULE'S COMPOUND
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,021,OPEN SPACE NEAR OCHU'S HOUSE ANYOKE EBA
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,022,NEAR ALHASSAN'S HOUSE ANYOKE
KOGI,01,ADAVI,01,Okunchi/Ozuri/Onieka,023,ANYOKE-EBA
KOGI,01,ADAVI,02,Ogaminana,001,LGEA SCHOOL OGAMINANA I
KOGI,01,ADAVI,02,Ogaminana,002,LGEA SCHOOL OGAMINANA II
KOGI,01,ADAVI,02,Ogaminana,003,ABADAGI STREET I
KOGI,01,ADAVI,02,Ogaminana,004,ABADAGI STREET II
KOGI,01,ADAVI,02,Ogaminana,005,ABADAGI STREET III
KOGI,01,ADAVI,02,Ogaminana,006,LGEA SCHOOL OGAMINANA (PREM. SEC) I
KOGI,01,ADAVI,02,Ogaminana,007,LGCA SCHOOL LOGAMININA (PERM. SEC) II
KOGI,01,ADAVI,02,Ogaminana,008,LGCA SCHOOL LOGAMININA (PERM. SEC) III
KOGI,01,ADAVI,02,Ogaminana,009,FRONT OF COURT I
KOGI,01,ADAVI,02,Ogaminana,010,FRONT OF COURT II
KOGI,01,ADAVI,02,Ogaminana,011,MATERNITY CENTRE I
KOGI,01,ADAVI,02,Ogaminana,012,MATERNITY CENTRE II
KOGI,01,ADAVI,02,Ogaminana,013,POSTAL AGENCY REVENU OFFICE I
KOGI,01,ADAVI,02,Ogaminana,014,POSTAL AGENCY REVENU OFFICE II
