state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
KWARA,01,ASA,01,Yowere/Sosoki,001,SOSOKI L G E A SCH
KWARA,01,ASA,01,Yowere/Sosoki,002,ONIYEYE OPEN SPACE
KWARA,01,ASA,01,Yowere/Sosoki,003,LAODU 1 OPEN SPACE
KWARA,01,ASA,01,Yowere/Sosoki,004,IDI-OSE L.G.E.A SCH
KWARA,01,ASA,02,Adigbongbo/Awe/Orimaro,001,ADIGBONGBO L.G.E.A SCH
KWARA,01,ASA,02,Adigbongbo/Awe/Orimaro,002,AWE L.G.E.A SCH
KWARA,01,ASA,02,Adigbongbo/Awe/Orimaro,003,AFO-OJA L.G.E.A SCH
KWARA,01,ASA,02,Adigbongbo/Awe/Orimaro,004,YEDE/ORIMARO L.G.E.A SCH
KWARA,01,ASA,02,Adigbongbo/Awe/Orimaro,005,TIRO L.G.E.A SCH
KWARA,01,ASA,03,Elebue/Agbona/Fata,001,OJA-IYA L.G.E.A SCH
KWARA,01,ASA,03,Elebue/Agbona/Fata,002,AGBONA L.G.E.A SCH
KWARA,01,ASA,03,Elebue/Agbona/Fata,003,MEGIDA EDUNJO OPEN SPACE I
KWARA,01,ASA,03,Elebue/Agbona/Fata,004,MEGIDA EDUNJO OPEN SPACE II
KWARA,01,ASA,03,Elebue/Agbona/Fata,005,OMOJAMO DISPENSARY
KWARA,01,ASA,03,Elebue/Agbona/Fata,006,IGBOROKO L.G.E.A SCH
KWARA,01,ASA,03,Elebue/Agbona/Fata,007,BUDO TUNTUN OPEN SPACE
KWARA,01,ASA,04,Onire/Odegiwa/Alapa,001,ALAPA L.G.E.A SCH
KWARA,01,ASA,04,Onire/Odegiwa/Alapa,002,KONDORO L.G.E.A SCH
KWARA,01,ASA,04,Onire/Odegiwa/Alapa,003,ODE-GIWA MARKET
KWARA,01,ASA,04,Onire/Odegiwa/Alapa,004,ONIKEKE L.G.E.A SCH
KWARA,01,ASA,04,Onire/Odegiwa/Alapa,005,ONIRE ALHAJI OPEN SPACE
