state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
Lagos,01,AGEGE,01,Isale/Idimangoro,001,"ST. JOSEPH SECONDARY SCHOOL, MANGORO"
Lagos,01,AGEGE,01,Isale/Idimangoro,002,"15, SHOMIDE STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,003,"1, GARUBA STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,004,"8, SEBIOTIMO STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,005,"6, SEBIOTIMO STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,006,WITHIN OLABI SQUARE
Lagos,01,AGEGE,01,Isale/Idimangoro,007,KAMORU ALIMI/SEBIOTIMO STREET I
Lagos,01,AGEGE,01,Isale/Idimangoro,008,KAMORU ALIMI/SEBIOTIMO STREET II
Lagos,01,AGEGE,01,Isale/Idimangoro,009,"18, MAYAKA STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,010,COMMUNITY PRY. SCHOOL
Lagos,01,AGEGE,01,Isale/Idimangoro,011,"2, OTUN STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,012,"4, OTUN STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,013,"11, TALABI STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,014,BACK OF ILORO GRAMMAR SCHOOL
Lagos,01,AGEGE,01,Isale/Idimangoro,015,"4, FISHER STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,016,"18, OLUFESO STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,017,INSIDE ILORO GRAMMAR SCHOOL
Lagos,01,AGEGE,01,Isale/Idimangoro,018,"17, AJIBOSE STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,019,"15, AJIBOSE STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,020,"20, ISHORA-YUSUF STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,021,"9, ADETONA STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,022,INSIDE ILORO GRAMMAR SCHOOL
Lagos,01,AGEGE,01,Isale/Idimangoro,023,"2, ONIBEJU STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,024,"4, ONIBEJU STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,025,"18, OREDAPO STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,026,"33, OREDAPO STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,027,"10, OLAYIWOLA STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,028,"40, OLAYIWOLA STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,029,A/C PRIMARY SCHOOL
Lagos,01,AGEGE,01,Isale/Idimangoro,030,"24, ONIBEJU STREET"
Lagos,01,AGEGE,01,Isale/Idimangoro,031,ANWAR-ISLAM COLLEGE
Lagos,01,AGEGE,01,Isale/Idimangoro,032,"11, AGEGE BYE-PASS/CAPITOL ROAD"
Lagos,01,AGEGE,01,Isale/Idimangoro,033,AGEGE BYE-PASS/ALH. YUSUF ROAD
