state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
NASARAWA,01,AKWANGA,01,Anchobaba,001,RIJA SARKI
NASARAWA,01,AKWANGA,01,Anchobaba,002,GBUWHEN
NASARAWA,01,AKWANGA,01,Anchobaba,003,ANCHO SARKI
NASARAWA,01,AKWANGA,01,Anchobaba,004,NGARE
NASARAWA,01,AKWANGA,01,Anchobaba,005,U/ZARIA I
NASARAWA,01,AKWANGA,01,Anchobaba,006,U/ZARIA II
NASARAWA,01,AKWANGA,01,Anchobaba,007,MANVEH
NASARAWA,01,AKWANGA,01,Anchobaba,008,"IKPON ST., BY HOUSE NO. 20"
NASARAWA,01,AKWANGA,02,Agyaga,001,NINGA PRIMARY SCHOOL (NINGA I)
NASARAWA,01,AKWANGA,02,Agyaga,002,NINGA II
NASARAWA,01,AKWANGA,02,Agyaga,003,ASHE
NASARAWA,01,AKWANGA,02,Agyaga,004,AGYAGA PRIMARY SCHOOL (AGYAGA)
NASARAWA,01,AKWANGA,02,Agyaga,005,TAPIR
NASARAWA,01,AKWANGA,02,Agyaga,006,UNGUWAR PAH
NASARAWA,01,AKWANGA,03,Gwanje.Gwanje,001,GWANJE
NASARAWA,01,AKWANGA,03,Gwanje.Gwanje,002,GBUJE
NASARAWA,01,AKWANGA,03,Gwanje.Gwanje,003,GWADI
NASARAWA,01,AKWANGA,03,Gwanje.Gwanje,004,ARICHA
NASARAWA,01,AKWANGA,04,Ancho Nighaan,001,ANCHO / NINGHAAN .
NASARAWA,01,AKWANGA,04,Ancho Nighaan,002,ARUM GIDA
NASARAWA,01,AKWANGA,04,Ancho Nighaan,003,NIDAN
NASARAWA,01,AKWANGA,04,Ancho Nighaan,004,NUMAN KUCHU
NASARAWA,01,AKWANGA,05,Andaha,001,ANDAHA NORTH
NASARAWA,01,AKWANGA,05,Andaha,002,ANDAHA SOUTH
NASARAWA,01,AKWANGA,05,Andaha,003,ANDAHA SOUTH
NASARAWA,01,AKWANGA,05,Andaha,004,ANDAHA MARKET SQUARE (ANDAHA KOFAR HAKIMI)
NASARAWA,01,AKWANGA,05,Andaha,005,KATANZA
NASARAWA,01,AKWANGA,05,Andaha,006,ANDAHA DAJI
NASARAWA,01,AKWANGA,06,Nunku,001,NUNKU
NASARAWA,01,AKWANGA,06,Nunku,002,NUNKU
NASARAWA,01,AKWANGA,06,Nunku,003,U/MAKAMA
NASARAWA,01,AKWANGA,06,Nunku,004,UNGWAR DOROWA PRI. SCHOOL. (UNGWAR DOROWA)
NASARAWA,01,AKWANGA,06,Nunku,005,ANDU
NASARAWA,01,AKWANGA,07,Gudi,001,MOTOR PARK
NASARAWA,01,AKWANGA,07,Gudi,002,MOTOR PARK
NASARAWA,01,AKWANGA,07,Gudi,003,C.M.S GUDI
NASARAWA,01,AKWANGA,07,Gudi,004,U/DARIYA
NASARAWA,01,AKWANGA,08,Moroa,001,C.M.S MOROA
NASARAWA,01,AKWANGA,08,Moroa,002,C.M.S MOROA
NASARAWA,01,AKWANGA,08,Moroa,003,B/KOGI
NASARAWA,01,AKWANGA,08,Moroa,004,U/YARA
NASARAWA,01,AKWANGA,08,Moroa,005,ANJIDA SARKI
NASARAWA,01,AKWANGA,08,Moroa,006,ANJIDA SARKI
NASARAWA,01,AKWANGA,08,Moroa,007,KWANDAR
NASARAWA,01,AKWANGA,09,Akwanga West,001,U/SALIHU
NASARAWA,01,AKWANGA,09,Akwanga West,002,U/GALADIMA
NASARAWA,01,AKWANGA,09,Akwanga West,003,COE AKWANGA
NASARAWA,01,AKWANGA,09,Akwanga West,004,COE AKWANGA
