state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
OGUN,01,ABEOKUTA NORTH,01,Ikereku,001,O.U.S PRY. SCHOOL IKEREKU I
OGUN,01,ABEOKUTA NORTH,01,Ikereku,002,O.U.S PRY. SCHOOL IKEREKU II
OGUN,01,ABEOKUTA NORTH,01,Ikereku,003,NEAR HOLY TRINITY CHURCH I
OGUN,01,ABEOKUTA NORTH,01,Ikereku,004,NEAR HOLY TRINITY CHURCH II
OGUN,01,ABEOKUTA NORTH,01,Ikereku,005,NEAR ITA OGBONI IDOMAPA I
OGUN,01,ABEOKUTA NORTH,01,Ikereku,006,NEAR ITA OGBONI IDOMAPA II
OGUN,01,ABEOKUTA NORTH,01,Ikereku,007,OJUDE AGBURIN
OGUN,01,ABEOKUTA NORTH,01,Ikereku,008,NEAR AROWOREHIN MOSQUE II
OGUN,01,ABEOKUTA NORTH,01,Ikereku,009,NEAR OKE ERI MOSQUE
OGUN,01,ABEOKUTA NORTH,01,Ikereku,010,NEAR LASODE HOUSE I
OGUN,01,ABEOKUTA NORTH,01,Ikereku,011,NEAR LASODE HOUSE II
OGUN,01,ABEOKUTA NORTH,01,Ikereku,012,OPEN SPACE CLOSE TO THE AJANAKU'S
OGUN,01,ABEOKUTA NORTH,02,Ikija,001,NUD IKIJA I
OGUN,01,ABEOKUTA NORTH,02,Ikija,002,NUD IKIJA II
OGUN,01,ABEOKUTA NORTH,02,Ikija,003,HOLY PROPHET ISALE OGUN I
OGUN,01,ABEOKUTA NORTH,02,Ikija,004,HOLY PROPHET ISALE OGUN II
OGUN,01,ABEOKUTA NORTH,02,Ikija,005,AHMADIYA PRY. SCHOOL
OGUN,01,ABEOKUTA NORTH,02,Ikija,006,OPEN SPACE AT OSUNRINDE'S HOUSE I
OGUN,01,ABEOKUTA NORTH,02,Ikija,007,OPEN SPACE AT OSUNRINDE'S HOUSE II
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,001,SPACE AT ITAMORIN I
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,002,SPACE AT ITAMORIN II
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,003,SPACE AT KINOSHI HOUSE I
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,004,SPACE AT KINOSHI HOUSE II
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,005,MUSLIM PRY. SCHOOL AGO-OKO I
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,006,MUSLIM PRY. SCHOOL AGO-OKO II
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,007,MUSLIM PRY. SCHOOL AGO-OKO III
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,008,ITA BALOGUN MOSQUE I
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,009,ITA BALOGUN MOSQUE II
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,010,ITA BALOGUN MOSQUE III
OGUN,01,ABEOKUTA NORTH,03,Ago Oko,011,ARAROMI MOSQUE
OGUN,01,ABEOKUTA NORTH,04,Elega,001,MUSLIM PRY. SCHOOL ELEGA I
OGUN,01,ABEOKUTA NORTH,04,Elega,002,MUSLIM PRY. SCHOOL ELEGA II
OGUN,01,ABEOKUTA NORTH,04,Elega,003,MUSLIM PRY. SCHOOL ELEGA III
OGUN,01,ABEOKUTA NORTH,04,Elega,004,MUSLIM PRY. SCHOOL ELEGA IV
OGUN,01,ABEOKUTA NORTH,04,Elega,005,ILUGUN HIGH SCHOOL I
OGUN,01,ABEOKUTA NORTH,04,Elega,006,ILUGUN HIGH SCHOOL II
OGUN,01,ABEOKUTA NORTH,04,Elega,007,ILUGUN HIGH SCHOOL III
OGUN,01,ABEOKUTA NORTH,04,Elega,008,SPACE AT LEPER COLONY I
OGUN,01,ABEOKUTA NORTH,04,Elega,009,SPACE AT LEPER COLONY II
OGUN,01,ABEOKUTA NORTH,04,Elega,010,OPELOYERU MOSQUE IMALA
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,001,ANLG SCHOOL ILUGUN ASALU I
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,002,ANLG SCHOOL ILUGUN ASALU II
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,003,ANLG SCHOOL ILUGUN ASALU III
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,004,NEAR GBEMISOLA'S HOUSE I
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,005,NEAR GBEMISOLA'S HOUSE II
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,006,ILE EJA I
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,007,ILE EJA II
OGUN,01,ABEOKUTA NORTH,05,Ilugun/Iberekodo,008,"ISOTAKUN MOSQUE, IBEREKODO"
