state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
OSUN,01,ATAKUMOSA EAST,01,Iwara,001,TOWN HALL IWARA
OSUN,01,ATAKUMOSA EAST,01,Iwara,002,"UNITY PRY. SCHOOL, IWARA"
OSUN,01,ATAKUMOSA EAST,01,Iwara,003,"L.A. SCHOOL, IWIKUN"
OSUN,01,ATAKUMOSA EAST,01,Iwara,004,"METHODIST PRY. SCHOOL, AYETORO"
OSUN,01,ATAKUMOSA EAST,01,Iwara,005,"L.A. PRY. SCHOOL, AJEBANDELE ASUKU"
OSUN,01,ATAKUMOSA EAST,01,Iwara,006,OPEN SPACE IYINTA
OSUN,01,ATAKUMOSA EAST,01,Iwara,007,OPEN SPACE ODO-IWARA
OSUN,01,ATAKUMOSA EAST,02,Igangan,001,"N.U.D PRY. SCHOL, IGANGAN"
OSUN,01,ATAKUMOSA EAST,02,Igangan,002,"ST. BARTH SCHOOL, IGANGAN"
OSUN,01,ATAKUMOSA EAST,02,Igangan,003,"APOSTOLIC PRY. SCHOOL, OKO-AGO"
OSUN,01,ATAKUMOSA EAST,02,Igangan,004,"ST. LUKE'S SCHOOL, OWODE"
OSUN,01,ATAKUMOSA EAST,02,Igangan,005,OPEN SPACE AJUMOBI
OSUN,01,ATAKUMOSA EAST,02,Igangan,006,OPEN SPACE SAJUKU
OSUN,01,ATAKUMOSA EAST,03,Ipole,001,"TOWN HALL, IPOLE"
OSUN,01,ATAKUMOSA EAST,03,Ipole,002,TOWN HALL ODO IJESA
OSUN,01,ATAKUMOSA EAST,03,Ipole,003,ST. ANDREW ISE-IJESA
OSUN,01,ATAKUMOSA EAST,03,Ipole,004,"L.A. SCHOOL, IMOGBARA"
OSUN,01,ATAKUMOSA EAST,03,Ipole,005,OPEN SPACE IROGBO/IJEMBA
OSUN,01,ATAKUMOSA EAST,03,Ipole,006,"ST. JOHN PRY. SCHOOL, IDADO"
OSUN,01,ATAKUMOSA EAST,04,Iperindo,001,TOWN HALL IPERINDO I
OSUN,01,ATAKUMOSA EAST,04,Iperindo,002,TOWN HALL IPERINDO II
OSUN,01,ATAKUMOSA EAST,04,Iperindo,003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO"
OSUN,01,ATAKUMOSA EAST,04,Iperindo,004,MATT. CENT AGO ISEGUN
OSUN,01,ATAKUMOSA EAST,04,Iperindo,005,"COMM. PRY. SCHOOL, OKE EGUN"
OSUN,01,ATAKUMOSA EAST,04,Iperindo,006,"COMM. PRY. SCHOOL, KAJOLA"
OSUN,01,ATAKUMOSA EAST,04,Iperindo,007,"CENT. PRY. SCHOOL, AASA"
OSUN,01,ATAKUMOSA EAST,04,Iperindo,008,OPEN SPACE AYENI/TEMIDIRE
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,001,ETI ONI OPEN SPACE
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,002,"L.A. PRY. SCHOOL, ALADODO"
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,003,"ANG. PRY. SCHOOL, ALARERE"
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,004,COURT HALL ITAPA
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,005,"MATERNITY CENTRE, ILORO"
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,006,OPEN SPACE TEMIDIRE I
OSUN,01,ATAKUMOSA EAST,05,Eti-Oni,007,"OPEN SPACE, TEMIDIRE II"
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,001,ST. LUKE'S ODOGBO
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,002,"L.A. PRY. SCHOOL, AJIDO"
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,003,"COMM. PRY. SCHOOL, FARO"
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,004,C.A.C. PRY. SCHOOL AKANNI
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,005,OPEN SPACE ALADURA
OSUN,01,ATAKUMOSA EAST,06,Ayegunle,006,ITAMERIN
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,001,L.A. PRY. SCHOOL ONIGBOGI
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,002,OPEN SPACE ONIGBOGI
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,003,SOKOTO I
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,004,SOKOTO II
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,005,SOKOTO S.B OJO
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,006,OGUNDELE
OSUN,01,ATAKUMOSA EAST,07,Forest Reserve I,007,OWADA
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,001,NUMBER
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,002,GRAMMAR SCHOOL ALAKA
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,003,L.A. SCHOOL LABOSIPO
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,004,TIMOLAJA AROWOJOBE
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,005,L.A. SCHOOL AREWA
OSUN,01,ATAKUMOSA EAST,08,Forest Reserve II,006,ALONGE/FAJUKE
OSUN,01,ATAKUMOSA EAST,09,Faforiji,001,ST. FELIX PRY. SCHOL FAFORIJI
OSUN,01,ATAKUMOSA EAST,09,Faforiji,002,ST. FELIX PRY. SCHOOL FAFORIJI I
OSUN,01,ATAKUMOSA EAST,09,Faforiji,003,TOWN HALL FAFORIJI
OSUN,01,ATAKUMOSA EAST,09,Faforiji,004,AGBON JEGEDE
OSUN,01,ATAKUMOSA EAST,09,Faforiji,005,"SURAJU PRY. SCHOOL, ERINSEBIJA"
OSUN,01,ATAKUMOSA EAST,09,Faforiji,006,COMM. PRY. SCHOOL OMO-ODO
OSUN,01,ATAKUMOSA EAST,09,Faforiji,007,COMM. PRY. SCHOOL ABATUNTUN
OSUN,01,ATAKUMOSA EAST,09,Faforiji,008,EHIN-OKE
OSUN,01,ATAKUMOSA EAST,10,Ajebandele,001,L.A PRY SCHOOL AJEBANDELE
OSUN,01,ATAKUMOSA EAST,10,Ajebandele,002,"ST. JOHN'S PRY SCHOOL, ERINBURO"
OSUN,01,ATAKUMOSA EAST,10,Ajebandele,003,L.A. PRY SCHOOL AYINRIN ADEDEJI I
OSUN,01,ATAKUMOSA EAST,10,Ajebandele,004,OPEN SPACE OLOWORU OWODE
