state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
Oyo,01,AFIJIO,01,Ilora I,001,A.U.D PRY. SCHOOL
Oyo,01,AFIJIO,01,Ilora I,002,BODE OPEN SPACE I
Oyo,01,AFIJIO,01,Ilora I,003,BODE OPEN SPACE II
Oyo,01,AFIJIO,01,Ilora I,004,BODE OPEN SPACE III
Oyo,01,AFIJIO,01,Ilora I,005,OLUWO OPEN SPACE
Oyo,01,AFIJIO,01,Ilora I,006,ODOFIN OPEN SPACE
Oyo,01,AFIJIO,01,Ilora I,007,OJA ISALE OPEN SPACE
Oyo,01,AFIJIO,01,Ilora I,008,OLAOSUN OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,001,AKINDELE OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,002,AKINDELE OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,003,ALAGBAA OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,004,BAPTIST GRAMMAR SCHOOL I
Oyo,01,AFIJIO,02,Ilora II,005,BAPTIST GRAMMAR SCHOOL II
Oyo,01,AFIJIO,02,Ilora II,006,ELEKAARA COMM. BANK O/SPACE
Oyo,01,AFIJIO,02,Ilora II,007,ELEKAARA MARKET O/SPACE
Oyo,01,AFIJIO,02,Ilora II,008,L.G. DISPENSARY
Oyo,01,AFIJIO,02,Ilora II,009,MAFIKUYOMI OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,010,MAFIKUYOMI OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,011,ONIKOOKO OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,012,OBANISOLA OPEN SPACE
Oyo,01,AFIJIO,02,Ilora II,013,OJA OKE OPEN SPACE I
Oyo,01,AFIJIO,02,Ilora II,014,OJA OKE OPEN SPACE II
Oyo,01,AFIJIO,02,Ilora II,015,TOWN HALL
Oyo,01,AFIJIO,03,Ilora III,001,ARIBOMBO OPEN SPACE
Oyo,01,AFIJIO,03,Ilora III,002,ATENTE OPEN SPACE
Oyo,01,AFIJIO,03,Ilora III,003,AYETORO OPEN SPACE
Oyo,01,AFIJIO,03,Ilora III,004,FARM SETTLEMENT
Oyo,01,AFIJIO,03,Ilora III,005,IBUKUN OLU OPEN SPACE
Oyo,01,AFIJIO,03,Ilora III,006,ONIFA PRY. SCHOOL
Oyo,01,AFIJIO,04,Fiditi I,001,"EBENEZER PRY. SCHOOL, FIDITI"
Oyo,01,AFIJIO,04,Fiditi I,002,JAAFU OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,003,METHODIST PRY. SCHOOL
Oyo,01,AFIJIO,04,Fiditi I,004,MOTOR PARK OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,005,OJUDE AYO OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,006,OJUERU OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,007,OLEYO OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,008,POLICE STATION OPEN SPACE
Oyo,01,AFIJIO,04,Fiditi I,009,CATHOLIC PRY. SCHOOL
Oyo,01,AFIJIO,04,Fiditi I,010,CHRIST ANG. SCHOOL
Oyo,01,AFIJIO,05,Fiditi II,001,ABESE OPEN SPACE
Oyo,01,AFIJIO,05,Fiditi II,002,AGBAAKIN OPEN SPACE
Oyo,01,AFIJIO,05,Fiditi II,003,EGBEJODA MARKET OPEN SPACE
Oyo,01,AFIJIO,05,Fiditi II,004,IJAYE OJUTAYE OPEN SPACE
Oyo,01,AFIJIO,05,Fiditi II,005,OWODE OPEN SPACE
Oyo,01,AFIJIO,05,Fiditi II,006,CUSTOMARY COURT
Oyo,01,AFIJIO,06,Awe I,001,ALAGBEDE OPEN SPACE
Oyo,01,AFIJIO,06,Awe I,002,ASAALU OPEN SPACE
