state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,001,KATAKO
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,002,ST. MARKS PRIM. SCH. I
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,003,GANGARE
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,004,GANGARE TASHA I
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,005,KAMPANI I
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,006,KAMPANI II
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,007,TAKWOK/KWOK
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,008,ANGWAN SARKI
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,009,SABON LAYI I
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,010,SABON LAYI II
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,011,KAFI ABU
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,012,KASHANGWOL
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,013,ST. MARKS PRIM. SCH. II
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,014,GANGARE TASHA II
PLATEAU,01,BARKIN LADI,01,Barakin Ladi,015,KAMPANI III
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,001,GASSA EKAN SCHOOL
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,002,JAL VILLAGE
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,003,SHO VILLAGE
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,004,BEL VILLAGE
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,005,REHOOT
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,006,RARING
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,007,RAKUNG VILLAGE
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,008,ROHWOL GASSA
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,009,NDING GASSA
PLATEAU,01,BARKIN LADI,02,Gassa/Sho,010,LEA PRIM. SCHOOL
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,001,RANTIS VILLAGE
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,002,RUKU VILLAGE
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,003,TANTI BABA TOWN I
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,004,TANTI BABA TOWN II
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,005,MAIYANGA TOWN
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,006,KYARANG VILLAGE
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,007,EXLANDS L.S.B
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,008,EXLANDS I
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,009,NGA’AR VILLAGE
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,010,YELWA GINDI
PLATEAU,01,BARKIN LADI,03,Gindin Akwati,011,EXLANDS II
PLATEAU,01,BARKIN LADI,04,Heipang,001,FWOMOL PRIM. SCHOOL
PLATEAU,01,BARKIN LADI,04,Heipang,002,BAN VILLAGE
PLATEAU,01,BARKIN LADI,04,Heipang,003,DAN MANGU
PLATEAU,01,BARKIN LADI,04,Heipang,004,TOKANG I
PLATEAU,01,BARKIN LADI,04,Heipang,005,TAGSBAM I
PLATEAU,01,BARKIN LADI,04,Heipang,006,TAGSBAM II
PLATEAU,01,BARKIN LADI,04,Heipang,007,KOBANG II
PLATEAU,01,BARKIN LADI,04,Heipang,008,CHIT VILLAGE
PLATEAU,01,BARKIN LADI,04,Heipang,009,TATU VILLAGE
PLATEAU,01,BARKIN LADI,04,Heipang,010,TOKANG II
PLATEAU,01,BARKIN LADI,05,Kapwis,001,KAPWEN VILLAGE
PLATEAU,01,BARKIN LADI,05,Kapwis,002,ZARON VILLAGE I
PLATEAU,01,BARKIN LADI,05,Kapwis,003,ZARON VILLAGE II
PLATEAU,01,BARKIN LADI,05,Kapwis,004,BAK VILLAGE
PLATEAU,01,BARKIN LADI,05,Kapwis,005,ZAKUPANG
PLATEAU,01,BARKIN LADI,05,Kapwis,006,DORONG
PLATEAU,01,BARKIN LADI,05,Kapwis,007,REBET
PLATEAU,01,BARKIN LADI,05,Kapwis,008,BAKIN KOGI PRIM. SCHOOL I
PLATEAU,01,BARKIN LADI,05,Kapwis,009,KET VILLAGE
PLATEAU,01,BARKIN LADI,05,Kapwis,010,PATIKO VILLAGE I
PLATEAU,01,BARKIN LADI,05,Kapwis,011,VAT NJONG
PLATEAU,01,BARKIN LADI,05,Kapwis,012,KAKWIS LOH
PLATEAU,01,BARKIN LADI,05,Kapwis,013,PANDADI I
PLATEAU,01,BARKIN LADI,05,Kapwis,014,BAKIN KOGI PRIM. SCHOOL II
PLATEAU,01,BARKIN LADI,05,Kapwis,015,PATIKO VILLAGE II
PLATEAU,01,BARKIN LADI,05,Kapwis,016,PANDADI II
PLATEAU,01,BARKIN LADI,06,Kurra Falls,001,ST. MATTHEWS KURRA FALLS
PLATEAU,01,BARKIN LADI,06,Kurra Falls,002,ST. PATRICK'S KURRA FALLS
PLATEAU,01,BARKIN LADI,06,Kurra Falls,003,ZEKEREK VILLAGE
PLATEAU,01,BARKIN LADI,06,Kurra Falls,004,KACHING VILLAGE
PLATEAU,01,BARKIN LADI,06,Kurra Falls,005,KAKURUK VILLAGE
PLATEAU,01,BARKIN LADI,06,Kurra Falls,006,GASHISHKUK/MAKOLI
PLATEAU,01,BARKIN LADI,06,Kurra Falls,007,GYO DOGO VILLAGE
PLATEAU,01,BARKIN LADI,06,Kurra Falls,008,KPEBIBUK
PLATEAU,01,BARKIN LADI,06,Kurra Falls,009,KUZEN PRIM. SCHOL
PLATEAU,01,BARKIN LADI,06,Kurra Falls,010,GASHISH KUK/MAKOLI
PLATEAU,01,BARKIN LADI,06,Kurra Falls,011,KURA BIROM VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,001,LOBIRING VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,002,GARAT VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,003,WEREH VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,004,DOROWA BABUJE I
PLATEAU,01,BARKIN LADI,07,Lobiring,005,RAPWOMOL
PLATEAU,01,BARKIN LADI,07,Lobiring,006,JOK VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,007,LOHALA
PLATEAU,01,BARKIN LADI,07,Lobiring,008,BWOM
PLATEAU,01,BARKIN LADI,07,Lobiring,009,BET VILLAGE
PLATEAU,01,BARKIN LADI,07,Lobiring,010,DOROWA BABUJE II
PLATEAU,01,BARKIN LADI,07,Lobiring,011,DOROWA BABUJE III
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,001,GANANDAJI TOWN
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,002,MAZAT
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,003,GANA ROPP TOWN I
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,004,MARIT TOWN I
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,005,MARIT TOWN II
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,006,TUDUN MAZAT VILLAGE
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,007,MANJOHOTA TOWN
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,008,BUKA BAKWAI TOWN
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,009,GANA ROPP TOWN II
PLATEAU,01,BARKIN LADI,08,Marit/Mazat,010,MARIT TOWN III
PLATEAU,01,BARKIN LADI,09,Rafan,001,RITA RAZEK PRIM. SCHOOL
PLATEAU,01,BARKIN LADI,09,Rafan,002,RAFAN RAKU RABWAK
PLATEAU,01,BARKIN LADI,09,Rafan,003,RAWURU PRIM. SCHOOL
PLATEAU,01,BARKIN LADI,09,Rafan,004,NDING SISUT
PLATEAU,01,BARKIN LADI,09,Rafan,005,RASHWEI KANA KUKA
PLATEAU,01,BARKIN LADI,09,Rafan,006,NAFAN DREDGE / HYELONG
PLATEAU,01,BARKIN LADI,09,Rafan,007,BARAKIN JOJI
PLATEAU,01,BARKIN LADI,09,Rafan,008,KANGASHO VILLAGE
PLATEAU,01,BARKIN LADI,09,Rafan,009,NDING PRI. SCH
PLATEAU,01,BARKIN LADI,09,Rafan,010,NYARWA
PLATEAU,01,BARKIN LADI,10,Tafan,001,DOROWA TSOHO
PLATEAU,01,BARKIN LADI,10,Tafan,002,BAWAN DODO
PLATEAU,01,BARKIN LADI,10,Tafan,003,SHALLUM RABWAK
PLATEAU,01,BARKIN LADI,10,Tafan,004,NFABON I
PLATEAU,01,BARKIN LADI,10,Tafan,005,RABIDURUM
PLATEAU,01,BARKIN LADI,10,Tafan,006,BATABASHIR VILLAGE I
PLATEAU,01,BARKIN LADI,10,Tafan,007,BATABSHIR VILLAGE II
PLATEAU,01,BARKIN LADI,10,Tafan,008,JANKOP NZIRING
PLATEAU,01,BARKIN LADI,10,Tafan,009,GARA KUGOT
PLATEAU,01,BARKIN LADI,10,Tafan,010,SHAMASHOK/TUSUNG
PLATEAU,01,BARKIN LADI,10,Tafan,011,TAPWANG FAN LOH
PLATEAU,01,BARKIN LADI,11,Zabot,001,ZABOT VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,002,NEWO VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,003,FORON EKAN
PLATEAU,01,BARKIN LADI,11,Zabot,004,KAMANG VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,005,ZARGUN VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,006,RUNG RATSAT
PLATEAU,01,BARKIN LADI,11,Zabot,007,SABON GIDAN FORON
PLATEAU,01,BARKIN LADI,11,Zabot,008,MAI IDON TARO I
PLATEAU,01,BARKIN LADI,11,Zabot,009,MAI IDON TARO II
PLATEAU,01,BARKIN LADI,11,Zabot,010,ROH RARUNG
PLATEAU,01,BARKIN LADI,11,Zabot,011,BISICHI TOWN
PLATEAU,01,BARKIN LADI,11,Zabot,012,NDE VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,013,RAT VILLAGE
PLATEAU,01,BARKIN LADI,11,Zabot,014,GARA FOK
PLATEAU,01,BARKIN LADI,11,Zabot,015,DALO MEMORIAL
PLATEAU,01,BARKIN LADI,11,Zabot,016,BISICHI TOWN II
PLATEAU,02,BASSA,01,Buhit,001,JEBBU BASSA I
PLATEAU,02,BASSA,01,Buhit,002,MARKET SQUARE NEAR ECWA CHURCH (KISSALOI I)
PLATEAU,02,BASSA,01,Buhit,003,LEA SCHOOL KISSAHYIP (KISSALOI II)
PLATEAU,02,BASSA,01,Buhit,004,L.E.A PRI. SCHOOL KISSAHYIP (KISSAHYIP)
PLATEAU,02,BASSA,01,Buhit,005,"METHODIST HIGH SCHOOL, JEBBU (METHODIST)"
