state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
RIVERS,01,ABUA/ODUAL,01,Abua I,001,"OGBEMA I, TOWN HALL"
RIVERS,01,ABUA/ODUAL,01,Abua I,002,"OGBEMA II, C.P.S HALL"
RIVERS,01,ABUA/ODUAL,01,Abua I,003,"OGBEMA III, C.P.S HALL"
RIVERS,01,ABUA/ODUAL,01,Abua I,004,"OGBEMA IV, TOWN HALL"
RIVERS,01,ABUA/ODUAL,01,Abua I,005,IGUTA ADAUYO TOWN HALL I
RIVERS,01,ABUA/ODUAL,01,Abua I,006,IGUTA ADAUYO TOWN HALL II
RIVERS,01,ABUA/ODUAL,01,Abua I,007,"OKUNNY-ADIBUO, TOWN HALL I"
RIVERS,01,ABUA/ODUAL,01,Abua I,008,"OKUNNY-ADIBUO, TOWN HALL II"
RIVERS,01,ABUA/ODUAL,01,Abua I,009,"OKUNNY-ADIBUO, TOWN HALL III"
RIVERS,01,ABUA/ODUAL,01,Abua I,010,"STATE SCHOOL HALL, OTO-OTOH"
RIVERS,01,ABUA/ODUAL,01,Abua I,011,EPHELEPHEEL TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,012,OMA-OBUGHAM TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,013,"KALIBIAMA, TOWN HALL"
RIVERS,01,ABUA/ODUAL,01,Abua I,014,EMOOM-EMA TOWN HALL I
RIVERS,01,ABUA/ODUAL,01,Abua I,015,EMOOM-EMA TOWN HALL II
RIVERS,01,ABUA/ODUAL,01,Abua I,016,"SCHOOL HALL,OOKE"
RIVERS,01,ABUA/ODUAL,01,Abua I,017,OKPIKIRI TOWN HALL I
RIVERS,01,ABUA/ODUAL,01,Abua I,018,OKIPIKIRI TOWN HALL II
RIVERS,01,ABUA/ODUAL,01,Abua I,019,ISAMA TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,020,IGUTA TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,021,EMILAGHAN I TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,022,EMILAGHAN II TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,023,EMILAGHAN III TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,024,EMILAGHAN IV TOWN HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,025,OMELEMA I TOWN SQUARE
RIVERS,01,ABUA/ODUAL,01,Abua I,026,OMELEMA II TOWN SQUARE
RIVERS,01,ABUA/ODUAL,01,Abua I,027,OMELEMA III SCHOOL HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,028,OMELEMA IV SCHOOL HALL
RIVERS,01,ABUA/ODUAL,01,Abua I,029,EMILAGHAN V EKOOL OMABI
RIVERS,01,ABUA/ODUAL,02,Abua II,001,EFIBIRI TOWN HALL I
RIVERS,01,ABUA/ODUAL,02,Abua II,002,EFIBIRI TOWN HALL II
RIVERS,01,ABUA/ODUAL,02,Abua II,003,"OKANA TOWN HALL, OMIMEGBO I"
