state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
SOKOTO,01,BINJI,01,Inname,001,INNAME MASUKAYI
SOKOTO,01,BINJI,01,Inname,002,PRI. SCH. INNAME (GURUZA SAMANA)
SOKOTO,01,BINJI,01,Inname,003,PRI. SCH. G/MONDE (KUSA GA GIDAN MONDE)
SOKOTO,01,BINJI,01,Inname,004,FARUWA JAMALI
SOKOTO,01,BINJI,01,Inname,005,PRI. SCH. G/ BAWA (GIDAN BAWA)
SOKOTO,01,BINJI,01,Inname,006,GIDAN GINJO
SOKOTO,01,BINJI,02,Samama,001,PRI. SCH. SAMAMA MARINA (SAMAMA MARINA)
SOKOTO,01,BINJI,02,Samama,002,SAMAMA UNGULU
SOKOTO,01,BINJI,02,Samama,003,GIDAN MAGAJI
SOKOTO,01,BINJI,02,Samama,004,PRI. SCH G/ALMU (GIDAN ALMU)
SOKOTO,01,BINJI,03,Binji,001,ALIYU JODI MPS (SHIYAR S/PAWA)
SOKOTO,01,BINJI,03,Binji,002,AREA DEV. OFFICE BAJAGAWA (BAJAGAWA)
SOKOTO,01,BINJI,03,Binji,003,"ALIYU JODI MPS (S/DARAI PRI, SCH)"
SOKOTO,01,BINJI,03,Binji,004,"GOVT. TECH. COLLEGE, BINJI (S/DARAI GOVT. TECH. COLL)"
SOKOTO,01,BINJI,03,Binji,005,VET. CLINIC DAWAKI (SHIYAR UBANDAWAKI)
SOKOTO,01,BINJI,03,Binji,006,S. YAKI MPS (FILIN BADE)
SOKOTO,01,BINJI,03,Binji,007,ALIYI JODI MPS (S/SARKIN ASKI)
SOKOTO,01,BINJI,03,Binji,008,AREA DEV. OFFICE FAWA (S/SARKIN FAWA)
SOKOTO,01,BINJI,03,Binji,009,S. YAKI MPS (S/FAWA DAN FILI)
SOKOTO,01,BINJI,04,Jammali,001,PRI. SCH. JAMALI (JAMALI G/MAGAJI)
SOKOTO,01,BINJI,04,Jammali,002,PRI. SCH. FILIN KASUWA (FILIN KASUWA)
SOKOTO,01,BINJI,04,Jammali,003,DADDALE
SOKOTO,01,BINJI,04,Jammali,004,MASARAR FULANI
SOKOTO,01,BINJI,04,Jammali,005,DISPENSARY DALIJAN HAUSAWA (DALIJAN HAUSAWA)
SOKOTO,01,BINJI,04,Jammali,006,PRI. SCH. MAGAJI TOBI (GIDAN MAGAJI TOBI)
SOKOTO,01,BINJI,04,Jammali,007,JAMALI TOBI
SOKOTO,01,BINJI,04,Jammali,008,GIDAN KIRYA
SOKOTO,01,BINJI,05,T/Kose,001,TUNDAN KOSE
SOKOTO,01,BINJI,05,T/Kose,002,"AJOGAL, MODEL PRY SCH AJOGAL"
SOKOTO,01,BINJI,05,T/Kose,003,TAUDI ZAIDI
SOKOTO,01,BINJI,05,T/Kose,004,"GIDAN MAIDEBE, PRY SCH GIDAN MAIDEBE"
SOKOTO,01,BINJI,05,T/Kose,005,KABAWA PRI. SCH. (KABAWA DANFILI)
SOKOTO,01,BINJI,06,Gawazzai,001,PRI. SCH. GAWAZZAI (GAWAZZAI)
SOKOTO,01,BINJI,06,Gawazzai,002,PRI. SCH. BANI ZUMBU (BANI ZUMBU)
SOKOTO,01,BINJI,06,Gawazzai,003,PRI. SCH. DUNKUMA (DUNKUMA)
SOKOTO,01,BINJI,06,Gawazzai,004,PRI. SCH YARDEWU (YARDEWU)
SOKOTO,01,BINJI,06,Gawazzai,005,PRI. SCH. MATABARE (MATABARE)
SOKOTO,01,BINJI,06,Gawazzai,006,PRI. SCH. GAWAZZAI (GAWAZZAI DAN FILI)
SOKOTO,01,BINJI,07,Maikulki,001,MAI KULKI PRI. SCH. (SHIYAR HAKIMI MAI KULKI)
SOKOTO,01,BINJI,07,Maikulki,002,PRI. SCH. KAWURI MAIKULKI (KAWURI MAIKULKI)
SOKOTO,01,BINJI,07,Maikulki,003,PRI. SCH. SHIYAR MARINA MAIKULKI (S/MARINA MAIKULKI)
SOKOTO,01,BINJI,07,Maikulki,004,PRI. SCH SHIYAR MARINA YAMMA (SHIYAR MARINA YAMMA)
SOKOTO,01,BINJI,07,Maikulki,005,RAGA LABAU MAKARANTA
SOKOTO,01,BINJI,07,Maikulki,006,"HIZNA MAKARANTA, HIZNA"
SOKOTO,01,BINJI,07,Maikulki,007,UDDIBA G/DIKKO MAMBA
SOKOTO,01,BINJI,07,Maikulki,008,"KUSA DA GARKAR MAGAJI, MARGAI"
SOKOTO,01,BINJI,07,Maikulki,009,"MALIYON ALMU, MALIYO"
SOKOTO,01,BINJI,07,Maikulki,010,"KAN-WURI MAIKULKI, FINLIN BARU"
SOKOTO,01,BINJI,08,Bunkari,001,"PRI. SCH., BUNKARI (UBAN DAWAKI)"
