state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
TARABA,01,ARDO-KOLA,01,Alim Gora,001,"ALIM GORA I,ALIM GORA PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,01,Alim Gora,002,"ALIM GORA II, COMPANY GATE"
TARABA,01,ARDO-KOLA,01,Alim Gora,003,"ALIM GORA III, MARKET SQUARE"
TARABA,01,ARDO-KOLA,01,Alim Gora,004,"ALIM GORA PRI, SCH. (WAKILI GAMOWAL PALACE)"
TARABA,01,ARDO-KOLA,02,Ardo Kola,001,AUDU GIWA PRI. SCH. I (AUDU GIWA MARKET SQUARE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,002,AUDU GIWA PRI. SCH. II (AUDU GIWA MARKET SQUARE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,003,"JAURO BUBA, NEAR MARKET SQUARE"
TARABA,01,ARDO-KOLA,02,Ardo Kola,004,WAKILI KACHALLA PRI. SCH. (WAKILI KACHALLA NEAR MAI UNGUWA PALACE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,005,JAURO JESSING OPEN SPACE (JAURO JESSI NEAR MAI-ANGUWA PALACE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,006,JAURO MASHI PRI. SCH. I (JAURO MASHI I NEAR MAI UNGUWA PALACE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,007,JAURO MASHI PRI. SCH. II (JAURO MASHI II NEAR MAI UNGUWA PALACE)
TARABA,01,ARDO-KOLA,02,Ardo Kola,008,"WAKILI YOPPO, WAKILI PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,03,Iware,001,OPEN SPACE (BABA HARI NEAR JAURO'S PALACE)
TARABA,01,ARDO-KOLA,03,Iware,002,GARI KARI NEAR JAURO'S PALACE
TARABA,01,ARDO-KOLA,03,Iware,003,"IWARE I, PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,03,Iware,004,"IWARE II, IWARE PRI. SCH. III (IWARE II NEAR JAURO'S PALACE)"
TARABA,01,ARDO-KOLA,03,Iware,005,"IWARE PRI. SCH., MAI ANGUWA INUWA (MAI UNGUWA INUWA NEAR MAI UNGUWA PALACE)"
TARABA,01,ARDO-KOLA,03,Iware,006,"SIBRE, SIBRE PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,001,"JAURO KAMAI I, C.O.E. GATE"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,002,"JAURO KAMAI II, C.O.E. GATE"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,003,"JAURO KAMAI III, C.O.A. GATE"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,004,JAURO MUYA PRI. SCH. (JAURO MUYA NEAR MUYA PALACE)
TARABA,01,ARDO-KOLA,04,Jauro Yinu,005,"JAURO YINU I, YINU PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,006,"JAURO YINU II, YINU PRIMARY SCHOOL"
TARABA,01,ARDO-KOLA,04,Jauro Yinu,007,KURNAYEL PRI. SCH. (KURNAYEL JAURO'S PALACE)
TARABA,01,ARDO-KOLA,04,Jauro Yinu,008,"MURBAI, PRIMARY SCHOOL"
