state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
YOBE,01,BADE,01,Dagona,001,DAGONA PRI SHC
YOBE,01,BADE,01,Dagona,002,DAGONA VIEWING CENTRE C.
YOBE,01,BADE,01,Dagona,003,MISSILLI / BULAMA GATE
YOBE,01,BADE,01,Dagona,004,MAINIYA BOREHOLE (MURZA BULAMA GATE)
YOBE,01,BADE,01,Dagona,005,"GARIN MANDA,PRI.SCH MISSILLI"
YOBE,01,BADE,01,Dagona,006,MAINIYA BULAMA GATE
YOBE,01,BADE,01,Dagona,007,BIZI PRI SCHOOL
YOBE,01,BADE,01,Dagona,008,GARIN MANDA
YOBE,01,BADE,02,Gwio-Kura,001,GWIO - KURA PRI SCHOOL
YOBE,01,BADE,02,Gwio-Kura,002,GWIO PRIMARY SCHOOL (GWIO BULAMA'S GATE)
YOBE,01,BADE,02,Gwio-Kura,003,"GWIO DINA ,PRI. SCH."
YOBE,01,BADE,02,Gwio-Kura,004,NGELBOWA PRI.SCHOOL
YOBE,01,BADE,02,Gwio-Kura,005,"NGELJABE ,PRI. SCH I"
YOBE,01,BADE,02,Gwio-Kura,006,CHIRAWA BULAMA GATE
YOBE,01,BADE,02,Gwio-Kura,007,MAINARI PRI.SCHOOL
YOBE,01,BADE,03,Katuzu,001,"KATUZU, PRI. SCH."
YOBE,01,BADE,03,Katuzu,002,"KATUZU ,VIEW CENTRE"
YOBE,01,BADE,03,Katuzu,003,"KATUZU P. SCHOOL (UNGUWAR M.SALE , K.M.SALE)"
YOBE,01,BADE,03,Katuzu,004,"KATUZU A. S (UNGUWAR M.SALE , K.M.SALE II)"
YOBE,01,BADE,03,Katuzu,005,"STATE AGRIC., STATE AGRIC. OFFICE I"
YOBE,01,BADE,03,Katuzu,006,"STATE AGRIC., STATE AGRIC. OFFICE II"
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,001,COLLEGE OF EDUCATION
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,002,RAMAT PRI.SCHOOL
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,003,GONI AJI
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,004,LAWAN AUDU BOREHOLE (LAWAN AUDU)
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,005,ASIBITIN AGANA I
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,006,ASIBITIN AGANA II
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,007,BESIDE HIGH COURT (FORMER NEPA)
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,008,GRAIN LAMIDO PRIMARY SCHOOL (GARIN LAMIDO)
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,009,HOSPITAL GATE
YOBE,01,BADE,04,Lawan Audu/Lawan Al - Wali,010,RAMAT PRI. SCHOOL (BENIN BAYERO)
YOBE,01,BADE,05,Lawan Fannami,001,"ARI KULOLA V/C (ARI KULOLA, ARI KULOLA GATE)"
YOBE,01,BADE,05,Lawan Fannami,002,FILIN TANDA OPEN SPACE
YOBE,01,BADE,05,Lawan Fannami,003,BABUJE PRI SCHOOL
YOBE,01,BADE,05,Lawan Fannami,004,YA'U GARA KOFAR YA'U
YOBE,01,BADE,05,Lawan Fannami,005,TSANGAYA I OPEN SPACE
YOBE,01,BADE,05,Lawan Fannami,006,GDSS GASHUA (TSANGAYA II OPEN SPACE)
YOBE,01,BADE,05,Lawan Fannami,007,GDSS GASHU'A
YOBE,01,BADE,05,Lawan Fannami,008,GABUJE PRI. SCHOOL (HASSAN MAI UNG.)
YOBE,01,BADE,06,Lawan Musa,001,EMIRS PALACE I
YOBE,01,BADE,06,Lawan Musa,002,EMIRATE COUNCIL SEC (EMIRS PALACE II)
YOBE,01,BADE,06,Lawan Musa,003,MASS LITERACY OFFICE (MA'AJI D/BAPPA)
YOBE,01,BADE,06,Lawan Musa,004,UMAR SULIEMAN I
YOBE,01,BADE,06,Lawan Musa,005,UMAR SULIEMAN II
YOBE,01,BADE,06,Lawan Musa,006,DUGUM JAMBO I
YOBE,01,BADE,06,Lawan Musa,007,DUGUM JAMBO II
YOBE,01,BADE,07,Sarkin Hausawa,001,TALBARI VIEWING CENTRE
YOBE,01,BADE,07,Sarkin Hausawa,002,TALBARI L.E.A.
YOBE,01,BADE,07,Sarkin Hausawa,003,KALEGHA
YOBE,01,BADE,07,Sarkin Hausawa,004,ISLAMIYA PRI. SCHOOL (ALH. SIDI ALI)
YOBE,01,BADE,07,Sarkin Hausawa,005,ISLAMIYYA
YOBE,01,BADE,07,Sarkin Hausawa,006,ANES B.
YOBE,01,BADE,08,Tagali/Sugum,001,SUGUM P. SCHOOL (SUGUM 1 B.GATE)
YOBE,01,BADE,08,Tagali/Sugum,002,SUGUM II PRI SCH
YOBE,01,BADE,08,Tagali/Sugum,003,GAPIWA
YOBE,01,BADE,08,Tagali/Sugum,004,RABAYO
YOBE,01,BADE,08,Tagali/Sugum,005,TAGAMA OPEN SPACE
YOBE,01,BADE,08,Tagali/Sugum,006,TAGALI PRI SCH
YOBE,01,BADE,08,Tagali/Sugum,007,MADAMUWA BULAMA GATE
YOBE,01,BADE,08,Tagali/Sugum,008,GABARWA OPEN SPACE
YOBE,01,BADE,08,Tagali/Sugum,009,TAK VIR - VIR
YOBE,01,BADE,09,Usur/Dawayo,001,USUR PRI.SCHOOL
