state,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name
ZAMFARA,01,ANKA,01,Bagega,001,BAGEGA I/KANWURI AREA COURT (BAGEGA I / KANWURI)
ZAMFARA,01,ANKA,01,Bagega,002,BAGEGA II/MAKARANTA
ZAMFARA,01,ANKA,01,Bagega,003,TUBUKI/GARKA
ZAMFARA,01,ANKA,01,Bagega,004,MALLAMAWA/PRI. SCH.
ZAMFARA,01,ANKA,01,Bagega,005,KAWAYE I /MAKARANTA
ZAMFARA,01,ANKA,01,Bagega,006,PRI. SCH. (KAWAYE II / KANWURI)
ZAMFARA,01,ANKA,01,Bagega,007,PRI. SCH. (DAWON-JIYA / KANWURI)
ZAMFARA,01,ANKA,01,Bagega,008,DUZA/PRI. SCH
ZAMFARA,01,ANKA,01,Bagega,009,DANGAZAU/PRI. SCH
ZAMFARA,01,ANKA,01,Bagega,010,PRI. SCH. (DUTSI /GARKA)
ZAMFARA,01,ANKA,01,Bagega,011,ZAMFARAWA/PRI. SCHOOL
ZAMFARA,01,ANKA,01,Bagega,012,KASUMKA/PRI. SCHOOL
ZAMFARA,01,ANKA,01,Bagega,013,MAKAKARI/PRI. SCHOOL
ZAMFARA,01,ANKA,02,Barayar-Zaki,001,BARAYAR-ZAKI/KANWURI
ZAMFARA,01,ANKA,02,Barayar-Zaki,002,ASIBITI (RAFIN GERO/KANWURI)
ZAMFARA,01,ANKA,02,Barayar-Zaki,003,TUNGAR GODAI/GIDAN HAKIMI
ZAMFARA,01,ANKA,02,Barayar-Zaki,004,TUNGAR NAMORE/G/HAKIMI
ZAMFARA,01,ANKA,02,Barayar-Zaki,005,DUTSIN DAN - AJIYA/G/ HAKIMI
ZAMFARA,01,ANKA,02,Barayar-Zaki,006,RAIYA/KANWURI
ZAMFARA,01,ANKA,02,Barayar-Zaki,007,JIGAWA/KANWURI
ZAMFARA,01,ANKA,02,Barayar-Zaki,008,PRIMARY SCHOOL (BARDI /KANWURI)
ZAMFARA,01,ANKA,02,Barayar-Zaki,009,MALLAMAWA/PRI. SCH.
ZAMFARA,01,ANKA,02,Barayar-Zaki,010,LAHO/LAHO
ZAMFARA,01,ANKA,02,Barayar-Zaki,011,SALLAH/PRI SCHOOL
ZAMFARA,01,ANKA,02,Barayar-Zaki,012,SHIYAR - LIMAN/LIMANCHI
ZAMFARA,01,ANKA,02,Barayar-Zaki,013,SHIYAR S/GARI/SABON GARI
ZAMFARA,01,ANKA,02,Barayar-Zaki,014,TUNGAR DANGIDO/TUNGA
ZAMFARA,01,ANKA,02,Barayar-Zaki,015,S/GARI SALA/S/ GARI
ZAMFARA,01,ANKA,02,Barayar-Zaki,016,TUNGAR GEZA/GEZA
ZAMFARA,01,ANKA,02,Barayar-Zaki,017,S / GARIN TIGALLA/TIGALLA
ZAMFARA,01,ANKA,03,Dan Galadima,001,J.N.I./PRIMARY SCHOOL
ZAMFARA,01,ANKA,03,Dan Galadima,002,DAN BEDIN MAIMASA (DANDAMBE/GARKAR DANDAMBE)
ZAMFARA,01,ANKA,03,Dan Galadima,003,FOCAL PRI. SCH. (ALH. KANTI / GIDAN ALH. KANTI)
ZAMFARA,01,ANKA,03,Dan Galadima,004,G.S.S./SECONDARY SCHOOL
ZAMFARA,01,ANKA,03,Dan Galadima,005,KARUMA DAN FILI (GARGAM / GARKAR HAKIMI)
ZAMFARA,01,ANKA,03,Dan Galadima,006,TUNGAR DAN GALADIMA/GARKAR HAKIMI
ZAMFARA,01,ANKA,03,Dan Galadima,007,MODEL PRI. SCH./PRIMARY SCHOOL
ZAMFARA,01,ANKA,04,Galadima,001,SHIYAR -YARI/GIDAN YARI
ZAMFARA,01,ANKA,04,Galadima,002,KADADDABA/PRI. SCH.
ZAMFARA,01,ANKA,04,Galadima,003,AREA COURT (KANWURI PALACE)
ZAMFARA,01,ANKA,04,Galadima,004,SHIYAR SARKIN RUWA/GARKAR SARKIN RUWA
ZAMFARA,01,ANKA,04,Galadima,005,BABBAN BAYE/BABBAN BAYE
ZAMFARA,01,ANKA,04,Galadima,006,LALLAHO/KANWURI
ZAMFARA,01,ANKA,04,Galadima,007,INWALA/KANWURI
ZAMFARA,01,ANKA,04,Galadima,008,LIMANCI/BAKIN MASALLACHI
ZAMFARA,01,ANKA,04,Galadima,009,RUWANKAI/G/HAKIMI
ZAMFARA,01,ANKA,05,Magaji,001,TUNGAR LIMAN/PRI. SCH.
ZAMFARA,01,ANKA,05,Magaji,002,DARETA/PRI. SCHOOL
ZAMFARA,01,ANKA,05,Magaji,003,GARKAR MAGAJI/GARKAR MAGAJI
ZAMFARA,01,ANKA,05,Magaji,004,BANBARAN/KANWURI
ZAMFARA,01,ANKA,05,Magaji,005,G.G.D.S.S ANKA (SECTARIAT/SAKATARIYA)
ZAMFARA,01,ANKA,05,Magaji,006,GARKAR ALIN KILO/GIDAN ALH. ALI KILO
ZAMFARA,01,ANKA,05,Magaji,007,ABARE/PRI. SCH.
ZAMFARA,01,ANKA,05,Magaji,008,KARIMA/KARIMA GUEST INN
ZAMFARA,01,ANKA,05,Magaji,009,TUNGAR MAI RAKUMI/GARKAR HAKIM
ZAMFARA,01,ANKA,05,Magaji,010,HILIN DANGWALIYO (GARKAR SARDAUNA)
ZAMFARA,01,ANKA,06,Matseri,001,GIMA I/PRI. SCH
ZAMFARA,01,ANKA,06,Matseri,002,KWANAR MAJE I/PRI. SCH.
ZAMFARA,01,ANKA,06,Matseri,003,KWANAR - MAJE II/DISPENSARY
ZAMFARA,01,ANKA,06,Matseri,004,GIRKAU/KANWURI
ZAMFARA,01,ANKA,06,Matseri,005,TUDUN ROGO/GIDAN HAKIMI
ZAMFARA,01,ANKA,06,Matseri,006,TUMBA/KANWURI
ZAMFARA,01,ANKA,06,Matseri,007,MATSERI/PRI. SCH.
ZAMFARA,01,ANKA,06,Matseri,008,MAIDUMA/KANWURI
ZAMFARA,01,ANKA,06,Matseri,009,MAHUTA/GIDAN HAKIMI
ZAMFARA,01,ANKA,06,Matseri,010,GADAR- MANYA/KANWURI
ZAMFARA,01,ANKA,06,Matseri,011,MANYA GALI/PRI. SCHOOL
ZAMFARA,01,ANKA,06,Matseri,012,BABBAN BAYE/G/HAKIMI
ZAMFARA,01,ANKA,06,Matseri,013,GEBEN DAN BA'U - KANWURI
ZAMFARA,01,ANKA,06,Matseri,014,GIMA II/DAN BEDI
ZAMFARA,01,ANKA,06,Matseri,015,GIMA III/GARKA
ZAMFARA,01,ANKA,06,Matseri,016,KANGON GIRKAU/GIRKAU
ZAMFARA,01,ANKA,06,Matseri,017,ZAGA/ZAGA
ZAMFARA,01,ANKA,06,Matseri,018,MANYA/MANYA GARKA
ZAMFARA,01,ANKA,06,Matseri,019,MATSERIN FILLANI/MATSERIN FULANI
ZAMFARA,01,ANKA,06,Matseri,020,KATUMBURE/KATUNBURE
ZAMFARA,01,ANKA,07,Sabon Birini,001,SHIYAR MAGAJI - GIDAN HAKIMI
